model,control_index,control_row,q1,frob_norm_U_k
Llama-7B,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
Mistral-7B,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
OLMo-7B-0724-hf,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
Qwen2.5-7B,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
MosaicBERT,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
ModernBERT-base,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
NTv3,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
DNABERT-2,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
GENERator-EUK-3B,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
GenomeOcean-4B,,,NOT FOUND (only 12-model E11 cohort has per-control structural spectra),
Qwen/Qwen2.5-0.5B,1,196,0.020779069698598558,0.656435521844999
Qwen/Qwen2.5-0.5B,2,444,0.0273435113016163,0.632509667504553
Qwen/Qwen2.5-0.5B,3,520,0.019476790348757125,0.5686688548386324
Qwen/Qwen2.5-0.5B,4,815,0.050076343357488506,0.5865169025527616
Qwen/Qwen2.5-0.5B,5,818,0.030619029219367072,0.6115151144957984
Qwen/Qwen2.5-1.5B,1,71,0.028391040457566165,3.738535464074208
Qwen/Qwen2.5-1.5B,2,114,0.025918277213761737,3.8898088808637614
Qwen/Qwen2.5-1.5B,3,279,0.009553010436888899,4.004298275707696
Qwen/Qwen2.5-1.5B,4,717,0.014422886491389692,3.730166365392092
Qwen/Qwen2.5-1.5B,5,1008,0.012456636698437143,3.946581552176067
Qwen/Qwen2.5-3B,1,145,0.011000696867174533,4.556944867725429
Qwen/Qwen2.5-3B,2,218,0.011501303842802015,4.564922774140049
Qwen/Qwen2.5-3B,3,1437,0.011373294032780106,4.6273909391421375
Qwen/Qwen2.5-3B,4,1453,0.011733943760059167,4.337426685539535
Qwen/Qwen2.5-3B,5,1579,0.09020817137855418,2.6733301019419655
HuggingFaceTB/SmolLM2-135M,1,66,0.026756453978158307,151.17657932981382
HuggingFaceTB/SmolLM2-135M,2,436,0.04373514322701722,163.49381628729913
HuggingFaceTB/SmolLM2-135M,3,514,0.03942907953994088,167.1506891849431
HuggingFaceTB/SmolLM2-135M,4,529,0.034721224103136585,160.53284229581737
HuggingFaceTB/SmolLM2-135M,5,558,0.03898734449633432,157.53016234302223
HuggingFaceTB/SmolLM2-360M,1,16,0.012804239737699294,256.5163476674804
HuggingFaceTB/SmolLM2-360M,2,337,0.019292654937681272,256.2331011718915
HuggingFaceTB/SmolLM2-360M,3,782,0.015836807438479462,250.5267310884381
HuggingFaceTB/SmolLM2-360M,4,913,0.019525194729250166,254.39390864147404
HuggingFaceTB/SmolLM2-360M,5,951,0.01558441454799738,246.9495395324083
HuggingFaceTB/SmolLM2-1.7B,1,150,0.013305137530174614,253.6653488624343
HuggingFaceTB/SmolLM2-1.7B,2,464,0.013202826336233563,253.1665097121866
HuggingFaceTB/SmolLM2-1.7B,3,518,0.01320682267162399,248.26898309551697
HuggingFaceTB/SmolLM2-1.7B,4,1383,0.013290469084506793,250.9799435180605
HuggingFaceTB/SmolLM2-1.7B,5,1453,0.01263127266370162,252.49372027442428
GenerTeam/GENERator-v2-prokaryote-1.2b-base,1,64,0.013025004767561563,1.9301461179918071
GenerTeam/GENERator-v2-prokaryote-1.2b-base,2,868,0.012471289763498563,1.9297546472858567
GenerTeam/GENERator-v2-prokaryote-1.2b-base,3,1125,0.012312329283789369,1.9209251280847148
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,1301,0.013623127933924652,1.9658428048321588
GenerTeam/GENERator-v2-prokaryote-1.2b-base,5,1839,0.012477562780692024,1.9931946901012048
GenerTeam/GENERator-v2-prokaryote-3b-base,1,4,0.008751366448971109,6.815884146880349
GenerTeam/GENERator-v2-prokaryote-3b-base,2,285,0.008107479328136786,6.826260449506391
GenerTeam/GENERator-v2-prokaryote-3b-base,3,1057,0.008265001776592472,6.812614124053642
GenerTeam/GENERator-v2-prokaryote-3b-base,4,1853,0.0109473607400331,6.81118054439466
GenerTeam/GENERator-v2-prokaryote-3b-base,5,2307,0.00904271623012913,6.669752729229174
EuroBERT/EuroBERT-210m,1,72,0.15243100116033595,0.13712055353624836
EuroBERT/EuroBERT-210m,2,216,0.21858404524793604,0.13418716667662492
EuroBERT/EuroBERT-210m,3,514,0.10896112405169942,0.13359245231760958
EuroBERT/EuroBERT-210m,4,543,0.08847561324081633,0.13658333982428578
EuroBERT/EuroBERT-210m,5,757,0.10214418523593437,0.1386345000250687
EuroBERT/EuroBERT-610m,1,163,0.026338343030813335,0.1429669568601858
EuroBERT/EuroBERT-610m,2,342,0.03443904995464864,0.14156970348189613
EuroBERT/EuroBERT-610m,3,396,0.03596640683197582,0.14404623400570657
EuroBERT/EuroBERT-610m,4,557,0.03204270327775329,0.14167986124950258
EuroBERT/EuroBERT-610m,5,777,0.03357504235286746,0.14167120775799147
EuroBERT/EuroBERT-2.1B,1,427,0.06482330544320554,0.13196035189504135
EuroBERT/EuroBERT-2.1B,2,554,0.04717126445225402,0.13112796037492308
EuroBERT/EuroBERT-2.1B,3,758,0.04060900770269803,0.13352817045837048
EuroBERT/EuroBERT-2.1B,4,1103,0.051665524865586565,0.13166230468278498
EuroBERT/EuroBERT-2.1B,5,1935,0.03838257115191648,0.131377949559223
answerdotai/ModernBERT-large,1,40,0.6431978021476956,36.58442982228172
answerdotai/ModernBERT-large,2,558,0.25477038316901224,26.645597736876592
answerdotai/ModernBERT-large,3,709,0.7969730729418231,47.48054622734535
answerdotai/ModernBERT-large,4,816,0.2248459598856094,25.02791513270435
answerdotai/ModernBERT-large,5,873,0.21211274700972377,25.24469999559645
