model_id,hf_repo,hf_revision,domain,architecture,n_nonembedding_params,candidate_layer,candidate_row,selection_statistic_used,activation_ratio,activation_max,q1,PR_spec,frobenius_norm,layer_relative_frobenius,endpoint_type,n_eval_units,batch_size,baseline_loss,R_cand_eps0.5,R_cand_eps1.0,control_1_row,control_2_row,control_3_row,control_4_row,control_5_row,R_ctrl1_eps0.5,R_ctrl2_eps0.5,R_ctrl3_eps0.5,R_ctrl4_eps0.5,R_ctrl5_eps0.5,R_ctrl1_eps1.0,R_ctrl2_eps1.0,R_ctrl3_eps1.0,R_ctrl4_eps1.0,R_ctrl5_eps1.0,median_control_eps0.5,median_control_eps1.0,G_eps0.5,G_eps1.0,control_seed_stream,source_file,git_commit,obtained_via
Llama-7B,huggyllama/llama-7b,4782ad278652c7c71b72204d462d6d01eaaf7549,text,decoder,6476273664,2,3968,,,,0.9888168037615727,1.022653174688543,137.61641832032996,29.40138041715147,causal_LM_NLL,100,4,2.2452528551553326,0.03855088724231734,3.007945593585156,892,2034,2379,3729,3751,-2.1194014786478862e-06,-9.092572809449384e-06,7.100846118669469e-06,1.5727405952440314e-05,2.853531508888723e-06,-3.5940452784438422e-06,-1.588699943727528e-05,1.6235977190741512e-05,3.338057328855587e-05,8.801048710602857e-06,2.853531508888723e-06,8.801048710602857e-06,0.03854803371080845,3.0079367925364453,SeedSequence(42).spawn(23)[0],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
Mistral-7B,mistralai/Mistral-7B-v0.1,27d67f1b5f57dc0953326b2601d68371d40ea8da,text,decoder,6979588096,1,2070,,,,0.9922047361077938,1.0157714240616442,0.38834723364706875,26.83185497075223,causal_LM_NLL,100,4,2.207224828193799,3.013789457796915,2.871492377308394,190,305,746,1912,2687,1.7121785923554652e-06,-1.5006996435873698e-05,5.598672476721859e-05,4.435213572215003e-06,-3.740385091803032e-06,5.021813317536439e-06,-2.8951186690941136e-05,0.00011591514007380235,9.777383946335692e-06,-6.0326697052417106e-06,1.7121785923554652e-06,5.021813317536439e-06,3.013787745618323,2.871487355495076,SeedSequence(42).spawn(23)[1],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
OLMo-7B-0724-hf,allenai/OLMo-7B-0724-hf,1ee306df318ee15bfe4a76ebd5c002b0105b1ab6,text,decoder,6476005376,1,269,,,,0.964564665808712,1.07470169944751,0.9110752807676615,39.201088887877,causal_LM_NLL,100,4,2.4953157010610325,0.006288051768048048,1.1177580569022323,292,437,2877,2908,3160,-3.921241632109546e-06,-4.32715141049352e-06,-1.4831024258933239e-05,4.836453302007753e-06,8.225417017166392e-06,-7.3944507730981204e-06,-7.99182742786676e-06,-2.9030207824853845e-05,1.0806390513337494e-05,1.7500072518002808e-05,-3.921241632109546e-06,-7.3944507730981204e-06,0.006291973009680158,1.1177654513530053,SeedSequence(42).spawn(23)[2],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
Qwen2.5-7B,Qwen/Qwen2.5-7B,d149729398750b98c0af14eb82c78cfe92750796,text,decoder,6525621760,26,458,,,,0.9529104185966117,1.0995461100252455,29.68742128221388,9.28343928087795,causal_LM_NLL,100,4,2.448377902932363,0.005999443397646881,0.0073805601611145735,62,1257,2926,3419,3553,6.525397457735785e-06,-8.679715278626576e-06,-1.043985538239135e-05,7.59475086877558e-06,-2.9973117508913253e-06,2.107094549881418e-05,-1.1290654811525414e-05,-1.5591484954173465e-05,2.2975487340539603e-05,-4.6442721132295654e-07,-2.9973117508913253e-06,-4.6442721132295654e-07,0.006002440709397772,0.007381024588325897,SeedSequence(42).spawn(23)[4],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
MosaicBERT,mosaicml/mosaic-bert-base,c89bbadc24278928f22bcdd7de6b61a5a2d08553,text,encoder,113951808,9,287,,,,0.4765682244123624,4.115864702588391,19.997746047192482,5.049000470198418,MLM,256,16,2.7671481196541836,-0.0017349806458838244,0.003742157414503058,56,173,193,517,545,3.4594878618880962e-06,-6.827627155315465e-05,-4.8441874478500753e-05,-2.449226962061112e-05,8.69077617373045e-05,4.138271035797036e-05,-0.00010857365238568204,-7.215180239967285e-05,-1.6049310355068717e-05,0.0002180969681061668,-2.449226962061112e-05,-1.6049310355068717e-05,-0.0017104883762632133,0.0037582067248581267,SeedSequence(42).spawn(23)[5],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
ModernBERT-base,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,text,encoder,110972608,15,251,,,,0.8969889514776379,1.2336584717613133,836.046538392924,23.548648733071218,MLM,256,16,1.52405771854778,0.10926316989708436,3.570440314807799,23,325,421,487,687,1.3859699371800636e-05,-2.604030601732931e-05,2.61798882978562e-05,3.587264606335805e-05,-3.19273939613398e-05,6.485239069165062e-05,-6.79847812782164e-06,8.652869776581809e-05,0.00011325049374059404,-3.804027677074566e-05,1.3859699371800636e-05,6.485239069165062e-05,0.10924931019771256,3.570375462417107,SeedSequence(42).spawn(23)[6],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
NTv3,InstaDeepAI/NTv3_650M_pre,unpinned (E5/E6 original),genomic,encoder,651829819,11,1472,,,,0.38889396751753286,6.4803244910178845,441.5173190114778,3.612997884175097,MLM,256,16,1.1444061123196168,-0.004981039705982557,-0.007949366731059835,2,142,527,924,1152,-1.5373947077456274e-05,6.233252167075502e-06,4.440755825193901e-06,-2.4052531387696408e-05,-8.554853339529772e-07,-2.6624938870692245e-05,1.1252786854012865e-05,7.995959049197915e-06,-5.352196834321887e-05,-1.703074537723427e-06,-8.554853339529772e-07,-1.703074537723427e-06,-0.004980184220648604,-0.007947663656522112,SeedSequence(42).spawn(23)[7],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
DNABERT-2,zhihan1996/DNABERT-2-117M,7bce263b15377fc15361f52cfab88f8b586abda0,genomic,encoder,113925376,5,603,,,,0.7933113982887636,1.503287698117315,74.00855774610585,5.018335080977002,MLM,256,16,4.695280693847892,0.003106690560738079,0.008295371435906092,72,216,513,542,757,-8.49168313720839e-06,1.3518807631645606e-06,5.3272880228548335e-05,-5.303856776098012e-06,1.367627409227114e-05,-1.0196971140957575e-05,1.0589183390887352e-05,0.00011458102005853469,5.615471375695601e-06,3.381520714192586e-05,1.3518807631645606e-06,1.0589183390887352e-05,0.0031053386799749145,0.008284782252515204,SeedSequence(42).spawn(23)[8],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
GENERator-EUK-3B,GenerTeam/GENERator-v2-eukaryote-3b-base,7dc01bccce5b65e15141170538afdc2ff09d8dde,genomic,decoder,2972900352,4,2371,,,,0.9688691252375834,1.0652593586761891,522.1322102348346,12.244005701455277,causal_LM_NLL,100,,6.38538052380085,0.04290482058827287,0.3709941910582313,435,915,1058,1490,2073,1.0724462876826533e-05,1.8480072574255856e-05,7.2105654050200855e-06,-6.777722386921341e-06,4.587930632780277e-06,2.6158858936598123e-05,1.9056854331654044e-05,1.404308159207964e-05,-1.0576883663709892e-05,2.1459940521057942e-05,7.2105654050200855e-06,1.9056854331654044e-05,0.04289761002286785,0.3709751342038996,SeedSequence(42).spawn(23)[9],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
GenomeOcean-4B,DOEJGI/GenomeOcean-4B,2bed2fc3ed47c5f6955ba3e64563512c9b338dfb,genomic,decoder,4228008960,1,2604,,,,0.8989077166811766,1.2243008136348879,2.8832156466529963,19.50444951690311,causal_LM_NLL,100,,5.258974985957734,0.0042586670025043395,0.007641126234624247,569,739,1012,1471,2581,-2.9349922096481922e-06,-1.1315925091575242e-05,-6.627140365994572e-06,-3.499350743178534e-05,4.881592146805413e-06,-4.3706997226805605e-06,-2.0574020575640092e-05,-1.30559581011994e-05,-6.82757384255363e-05,1.1516483938095415e-05,-6.627140365994572e-06,-1.30559581011994e-05,0.004265294142870334,0.0076541821927254465,SeedSequence(42).spawn(23)[10],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,060db6499f32faf8b98477b0a26969ef7d8b9987,text,decoder,357898112,21,62,,,,0.9981566830594912,1.003696649788444,18.726591709019885,30.623268771468037,causal_LM_NLL,100,8,3.1279006390655577,0.005163987341006483,0.005556031100779856,35,488,620,714,763,0.00026306000948978604,4.6260265514376735e-05,-4.463200681257728e-06,-2.0834379634069494e-06,4.692012269919189e-05,0.0009792311173006825,0.00012730355837759104,2.9021496558116972e-06,2.7820923069320827e-05,0.00011915615508058293,4.6260265514376735e-05,0.00011915615508058293,0.005117727075492106,0.005436874945699274,SeedSequence(42).spawn(23)[11],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
