model,candidate_q1,random_control_gap_fig1c,topk_by_norm_gap,non_embed_params,architecture
Qwen/Qwen2.5-0.5B,0.9981566830594912,0.9684977342743257,0.13798754926446477,357898112,decoder
Qwen/Qwen2.5-1.5B,0.9950986414892103,0.9769502712296017,0.0007197232036029177,1310340608,decoder
Qwen/Qwen2.5-3B,0.8173600221565082,0.7901965401802341,0.060426611893039106,2774773760,decoder
HuggingFaceTB/SmolLM2-135M,0.9243918826993042,0.8876660336303868,0.5788254844655536,106203456,decoder
HuggingFaceTB/SmolLM2-360M,0.9742504779226046,0.957641815644383,-0.015615274748998709,314635200,decoder
HuggingFaceTB/SmolLM2-1.7B,0.9663919138439745,0.9532646081867264,0.044316733577653755,1610713088,decoder
GenerTeam/GENERator-v2-prokaryote-1.2b-base,0.8468514071586476,0.8340695442527544,0.08173108070497748,1145153536,decoder
GenerTeam/GENERator-v2-prokaryote-3b-base,0.934973533990709,0.9259507490859366,0.015621539296969633,2972900352,decoder
EuroBERT/EuroBERT-210m,0.9838491163147434,0.8497299225273989,-0.001296711479242485,113265408,encoder
EuroBERT/EuroBERT-610m,0.9996238293034937,0.967151520213882,0.0005922994476049714,460123776,encoder
EuroBERT/EuroBERT-2.1B,0.9977414719034632,0.949211137180331,-5.801128561733204e-05,1812089088,encoder
answerdotai/ModernBERT-large,0.9701337490592797,0.5437537560285068,-0.0025688088338160497,344253440,encoder
