model,candidate_q1,mean_random_control_q1,random_control_gap,topk_by_norm_gap,architecture,domain,non_embed_params,control_source
Qwen/Qwen2.5-0.5B,0.9981566830594915,0.029658948785165513,0.968497734274326,0.137987549264465,decoder,text,357898112,original_12panel_scale_ladder_controls
Qwen/Qwen2.5-1.5B,0.9950986414892139,0.018148370259608727,0.9769502712296052,0.0007197232036064705,decoder,text,1310340608,original_12panel_scale_ladder_controls
Qwen/Qwen2.5-3B,0.8173600221565074,0.027163481976274002,0.7901965401802333,0.06042661189303833,decoder,text,2774773760,original_12panel_scale_ladder_controls
HuggingFaceTB/SmolLM2-135M,0.9243918826992876,0.03672584906891746,0.8876660336303701,0.578825484465537,decoder,text,106203456,original_12panel_scale_ladder_controls
HuggingFaceTB/SmolLM2-360M,0.9742504779226074,0.016608662278221515,0.9576418156443859,-0.015615274748995822,decoder,text,314635200,original_12panel_scale_ladder_controls
HuggingFaceTB/SmolLM2-1.7B,0.9663919138439866,0.013127305657248118,0.9532646081867385,0.04431673357766586,decoder,text,1610713088,original_12panel_scale_ladder_controls
GenerTeam/GENERator-v2-prokaryote-1.2b-base,0.8468514071586394,0.012781862905893235,0.8340695442527462,0.08173108070496926,decoder,genomic,1145153536,original_12panel_scale_ladder_controls
GenerTeam/GENERator-v2-prokaryote-3b-base,0.9349735339906993,0.00902278490477252,0.9259507490859268,0.015621539296959863,decoder,genomic,2972900352,original_12panel_scale_ladder_controls
EuroBERT/EuroBERT-210m,0.9838491163147411,0.13411919378734444,0.8497299225273967,-0.0012967114792447054,encoder,text,113265408,original_12panel_scale_ladder_controls
EuroBERT/EuroBERT-610m,0.9996238293034939,0.03247230908961171,0.9671515202138822,0.0005922994476051935,encoder,text,460123776,original_12panel_scale_ladder_controls
EuroBERT/EuroBERT-2.1B,0.9977414719034632,0.048530334723132125,0.949211137180331,-5.801128561733204e-05,encoder,text,1812089088,original_12panel_scale_ladder_controls
answerdotai/ModernBERT-large,0.9701337490592893,0.42637999303077284,0.5437537560285164,-0.002568808833806502,encoder,text,344253440,original_12panel_scale_ladder_controls
ModernBERT-base,0.8969889514776362,0.03318546875394987,0.8638034827236863,0.19329420914272644,encoder,text,110972608,batch2_this_session_seedsequence42
DNABERT-2,0.7933113982887914,0.07057324315479183,0.7227381551339995,-0.07310727831917307,encoder,genomic,113925376,batch2_this_session_seedsequence42
GENERator-EUK-3B,0.9688691252376008,0.01713272465026013,0.9517364005873407,-0.022060547084565174,decoder,genomic,2972900352,batch2_this_session_seedsequence42
Llama-7B,0.9888168037615837,0.00956838781050271,0.9792484159510809,0.16775571504089293,decoder,text,6476273664,batch2_this_session_seedsequence42
Mistral-7B,0.9922047361078123,0.014159585729532026,0.9780451503782803,0.026282082064083223,decoder,text,6979588096,batch2_this_session_seedsequence42
OLMo-7B-0724-hf,0.9645646658087472,0.018312565034127877,0.9462521007746193,0.3512166887057522,decoder,text,6476005376,batch2_this_session_seedsequence42
MosaicBERT,0.4765682244122918,0.036688238127873904,0.4398799862844179,0.011454908147340626,encoder,text,113951808,batch2_this_session_seedsequence42
GenomeOcean-4B,0.89890771668117,0.026651993477877323,0.8722557232032927,-0.07463782802093077,decoder,genomic,4228008960,batch2_this_session_seedsequence42
Qwen2.5-7B,0.9529104185966226,0.009510761465737923,0.9433996571308847,0.0038146232179516737,decoder,text,6525621760,batch2_this_session_seedsequence42
NTv3,0.3888939675174816,0.017884530103042945,0.3710094374144387,0.3693753565274237,encoder,genomic,651829819,batch2_this_session_seedsequence42
