section,claim_text,value,units,source_file,obtained_via,git_commit,notes
Abstract,candidate exceeds median top-norm control,20/22,models,audit/rederivations/structural_vs_causal_gap.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=0.5. Also appears in Results (causal census). Negative: MosaicBERT, NTv3."
Abstract,candidate exceeds median top-norm control,19/22,models,audit/rederivations/structural_vs_causal_gap.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=1.0. Also appears in Results. Negative: NTv3, Qwen2.5-0.5B, Qwen2.5-7B."
Abstract,candidate exceeds median random control,18/22,models,PART2_EVIDENCE_PACKET.md sec.4; confirmed audit/rederivations/structural_vs_causal_gap.csv,STORED+RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=0.5. Negative: EuroBERT-2.1B, EuroBERT-610m, MosaicBERT, NTv3."
Abstract,candidate exceeds median random control,20/22,models,PART2_EVIDENCE_PACKET.md sec.4; confirmed audit/rederivations/structural_vs_causal_gap.csv,STORED+RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=1.0. Negative: EuroBERT-2.1B, NTv3."
R1-structural,Qwen2.5-0.5B candidate q1,0.998157,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/text, layer/row=21/62, PR_spec=1.0037, |U_k|_F=18.7266, layer-rel Frob=30.6233, detector ratio=547.74, non-embed params=357,898,112"
R1-structural,Qwen2.5-1.5B candidate q1,0.995099,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/text, layer/row=26/408, PR_spec=1.0099, |U_k|_F=86.6886, layer-rel Frob=22.2861, detector ratio=608.30, non-embed params=1,310,340,608"
R1-structural,Qwen2.5-3B candidate q1,0.817360,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/text, layer/row=30/318, PR_spec=1.4394, |U_k|_F=37.9051, layer-rel Frob=8.3181, detector ratio=425.06, non-embed params=2,774,773,760"
R1-structural,SmolLM2-135M candidate q1,0.924392,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/text, layer/row=11/507, PR_spec=1.1693, |U_k|_F=2002.9972, layer-rel Frob=12.4772, detector ratio=1578.60, non-embed params=106,203,456"
R1-structural,SmolLM2-360M candidate q1,0.974250,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/text, layer/row=3/87, PR_spec=1.0535, |U_k|_F=5692.4959, layer-rel Frob=22.3767, detector ratio=1855.74, non-embed params=314,635,200"
R1-structural,SmolLM2-1.7B candidate q1,0.966392,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/text, layer/row=7/227, PR_spec=1.0707, |U_k|_F=3922.6020, layer-rel Frob=15.5354, detector ratio=4647.76, non-embed params=1,610,713,088"
