epsilon,metric,median,p2.5,p97.5,n_splits
0.5,F0_held_out_r2,-0.21409974818905153,-0.449986043547091,0.05708667567886832,100
0.5,F1_held_out_r2,0.29960867124428797,-0.3459391183191163,0.5669207188220456,100
0.5,F2_held_out_r2,0.5497516281946241,0.2612860510571213,0.7043958565062854,100
0.5,F3_held_out_r2,0.9171472420356916,0.7932155538089883,0.9561813938568932,100
0.5,F2_to_F3_relative_MAE_improvement,0.5752678489169116,0.34719299021933725,0.6817676360624798,100
0.5,fraction_F3_beats_F2_on_held_out_MAE,1.0,,,100
0.5,F2_lambda_distribution,"{""0.001"": 34, ""0.1"": 3, ""1.0"": 7, ""3.0"": 16, ""10.0"": 29, ""30.0"": 10, ""100.0"": 1}",,,100
0.5,F3_lambda_distribution,"{""0.001"": 6, ""0.01"": 9, ""0.1"": 24, ""1.0"": 55, ""3.0"": 5, ""10.0"": 1}",,,100
1.0,F0_held_out_r2,-0.4536831324554308,-1.1394100123169515,-0.05344933442101846,100
1.0,F1_held_out_r2,0.30646247272323157,-0.32792772033082246,0.6903658497432412,100
1.0,F2_held_out_r2,0.5595964704694817,0.32954678857307074,0.7017576983987935,100
1.0,F3_held_out_r2,0.7613337725715054,0.49211611421177587,0.8841370595515771,100
1.0,F2_to_F3_relative_MAE_improvement,0.3062044777817413,0.13806716562730806,0.5191459903328552,100
1.0,fraction_F3_beats_F2_on_held_out_MAE,1.0,,,100
1.0,F2_lambda_distribution,"{""0.001"": 18, ""1.0"": 12, ""3.0"": 18, ""10.0"": 35, ""30.0"": 17}",,,100
1.0,F3_lambda_distribution,"{""0.1"": 4, ""1.0"": 45, ""3.0"": 39, ""10.0"": 6, ""30.0"": 2, ""100.0"": 4}",,,100
