model,layer,candidate_row,candidate_norm,layer_median_norm,rank2_row,rank3_row,rank4_row,rank5_row,rank6_row,rank2_norm,rank3_norm,rank4_norm,rank5_norm,rank6_norm,ratio_rank2_to_candidate,existing_random_control_rows,existing_control_norm_percentiles
Qwen/Qwen2.5-0.5B,21,62,18.72659170901674,0.5904964978142284,570,490,53,262,450,1.2780037613026287,1.2681496071090423,1.18200109301721,1.045326951723267,0.8370065299982127,0.06824540104045082,196;444;520;815;818,95.3;88.3;35.9;46.5;67.7
Qwen/Qwen2.5-1.5B,26,408,86.68857568621998,3.797875938255346,520,940,609,286,553,70.68883061040134,63.21838232736703,52.015601931617894,17.769154780465534,16.6930092215158,0.8154342143798544,71;114;279;717;1008,42.9;64.1;88.3;41.8;75.1
Qwen/Qwen2.5-3B,30,318,37.905147328871216,4.589037390143638,1874,1819,45,71,294,19.279674024062686,15.736658444719211,12.110260893143657,9.391276080620875,6.5879464339802105,0.5086294443545912,145;218;1437;1453;1579,40.7;42.7;64.6;23.0;4.4
HuggingFaceTB/SmolLM2-135M,11,507,2002.997197003414,160.1367913938857,247,14,260,248,521,315.65190033873375,217.16991134031127,207.65963270029735,192.36095386730796,188.06357511443323,0.15758978635165596,66;436;514;529;558,13.7;75.7;91.0;53.5;33.5
HuggingFaceTB/SmolLM2-360M,3,87,5692.495943193812,252.40556929795804,398,615,40,212,538,3085.6727288029792,500.01986982053364,385.1456351793734,345.775196025499,292.26715631609954,0.5420597150345516,16;337;782;913;951,73.4;72.2;35.6;63.1;15.2
HuggingFaceTB/SmolLM2-1.7B,7,227,3922.6019896211014,253.9233510409025,749,161,737,277,793,3020.670119015097,684.2894352057897,285.7526205766337,285.12656858221027,271.8203484695108,0.7700679617783182,150;464;518;1383;1453,47.5;41.6;5.4;17.4;33.0
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,798,6.219604570425397,1.9310770040102005,1727,751,1203,1313,1213,8.29251500116897,6.294922160168119,5.121140485180949,4.861755044126623,4.5435044885935785,1.3332865308833926,64;868;1125;1301;1839,48.7;48.1;36.5;88.0;95.6
GenerTeam/GENERator-v2-prokaryote-3b-base,8,260,52.16156499453058,6.787787233753656,1325,2193,2789,1408,324,34.87558000231727,25.18311861253212,22.228642778319973,22.121014586416877,21.00153888908105,0.6686068565230772,4;285;1057;1853;2307,67.5;72.6;65.4;64.8;5.4
EuroBERT/EuroBERT-210m,3,300,2.0419119424630634,0.13742631619989912,193,2,755,377,710,1.8959485369658557,1.8323073376941577,1.5725213915670004,1.5616509182607685,1.3802955614040933,0.9285163074558745,72;216;514;543;757,48.2;32.8;30.2;44.3;57.7
EuroBERT/EuroBERT-610m,13,762,8.106532412546397,0.1403717957443827,729,691,643,322,37,4.3225918222995245,2.5306220414863394,1.3521374661264045,0.8797885905146352,0.4740958292321126,0.5332232824492866,163;342;396;557;777,82.3;67.1;88.5;69.0;68.8
EuroBERT/EuroBERT-2.1B,14,2198,2.750915946110296,0.13168519289261493,1050,842,1825,497,1173,2.735639844028469,2.6688092582820215,2.5704299167595064,2.476643664749581,2.440457645536579,0.9944469033656128,427;554;758;1103;1935,54.5;41.8;74.7;49.8;45.7
answerdotai/ModernBERT-large,19,379,708.1322939646803,24.38616392218389,307,963,195,711,270,161.57861806233922,133.01218067998911,130.92376688719207,125.22849592449313,99.1275936678892,0.22817575111240204,40;558;709;816;873,94.5;68.8;98.2;55.7;58.2
ModernBERT-base,15,251,836.0465383926851,35.50295169245308,67,606,179,142,583,125.6248964443869,63.44565530134991,59.772444184668785,54.647510421108045,48.569005977783505,0.1502606501856979,,
DNABERT-2,5,603,74.00855774609165,10.464545695763604,86,439,641,382,406,28.952962874586664,22.147191646213056,16.897795235025075,11.86934092327265,11.822068935834407,0.391211013379269,,
GENERator-EUK-3B,4,2371,522.132210234483,18.033658174741177,1522,101,1932,166,2197,197.92841588385343,58.64536143383909,40.08687365249352,31.453575342084587,22.163869548220447,0.3790771992307586,,
Llama-7B,2,3968,137.616418320241,4.221110555763778,3840,3619,704,954,3870,16.744480996058346,12.19065651058036,5.873043269823684,5.657015535663048,5.426179808618941,0.12167502395748316,,
Mistral-7B,1,2070,0.38834723364701756,0.014103811483376704,3398,3701,1935,2661,1528,0.13492979939417257,0.0402779616822483,0.04020452267182388,0.02963939906658851,0.024185732740720646,0.34744627411667106,,
OLMo-7B-0724-hf,1,269,0.9110752807671008,0.02324108935982954,3533,164,3357,3358,3450,0.09843628255908433,0.09554604618088733,0.0688912413399102,0.06671966400286194,0.0439554637583232,0.10804407126072353,,
MosaicBERT,9,287,19.997746047187604,3.9607336472288366,284,666,400,410,333,14.054118839615963,6.099134002261252,5.204706845493103,4.784426378912449,4.760946008222321,0.7027851442084131,,
GenomeOcean-4B,1,2604,2.8832156466503793,0.10883850548246671,1424,379,1966,2225,394,2.133825424785264,1.9404906841099832,1.267921412535215,1.2425257534011878,1.0878600951044513,0.7400852680805438,,
Qwen2.5-7B,26,458,29.687421282193814,2.6286792410341286,2570,2718,2730,3206,1692,15.052771860532056,9.227844961428545,8.143618898519193,3.551653809705636,3.381914606644111,0.5070420808007512,,
NTv3,11,1472,441.5173190112839,108.86144505198963,1075,1253,506,120,37,116.8957528564143,116.72655294793348,116.47157225263726,116.15584621882078,116.01814534699942,0.2647591562618335,,
