model,display_name,architecture,domain,candidate_q1,random_control_q1_1,random_control_q1_2,random_control_q1_3,random_control_q1_4,random_control_q1_5,random_control_gap,topnorm_control_q1_1,topnorm_control_q1_2,topnorm_control_q1_3,topnorm_control_q1_4,topnorm_control_q1_5,topnorm_control_gap,negative_topnorm_gap_flag
Llama-7B,Llama-7B,decoder,text,0.9888168037615837,0.00946815688611225,0.00988213694012179,0.009855889226599978,0.009131788563388319,0.009503967436291215,0.9792484159510809,0.5132446626250524,0.45513914889012974,0.8210610887206907,0.4431814934892505,0.37732213778071694,0.16775571504089293,0
Mistral-7B,Mistral-7B,decoder,text,0.9922047361078123,0.005832304687668866,0.04005636313383796,0.011299818276567168,0.007501622583115647,0.0061078199664704805,0.9780451503782803,0.9659226540437291,0.8478484358275037,0.8542563251135071,0.7525348318802689,0.8155188437949372,0.026282082064083223,0
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.9950986414892139,0.028391040457566165,0.025918277213761737,0.009553010436888899,0.014422886491389692,0.012456636698437143,0.9769502712296052,0.9943789182856074,0.9935065733001879,0.9899222729258228,0.9697231962536235,0.9536155929772536,0.0007197232036064705,0
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.9981566830594915,0.020779069698598558,0.0273435113016163,0.019476790348757125,0.050076343357488506,0.030619029219367072,0.968497734274326,0.8587451149816465,0.5747869011552911,0.8601691337950265,0.8204515777484511,0.6866424027574004,0.137987549264465,0
EuroBERT/EuroBERT-610m,EuroBERT-610M,encoder,text,0.9996238293034939,0.026338343030813335,0.03443904995464864,0.03596640683197582,0.03204270327775329,0.03357504235286746,0.9671515202138822,0.9990315298558887,0.9979333063513519,0.9907248368828353,0.9787104216374359,0.9255031513161195,0.0005922994476051935,0
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,decoder,text,0.9742504779226074,0.012804239737699294,0.019292654937681272,0.015836807438479462,0.019525194729250166,0.01558441454799738,0.9576418156443859,0.9898657526716033,0.549745878677237,0.33473656714021816,0.6280790247425218,0.02737868668760251,-0.015615274748995822,1
HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,decoder,text,0.9663919138439866,0.013305137530174614,0.013202826336233563,0.01320682267162399,0.013290469084506793,0.01263127266370162,0.9532646081867385,0.9220751802663207,0.7881140787906061,0.2221081872714899,0.1426455425807487,0.009793408908309216,0.04431673357766586,0
GENERator-EUK-3B,GEN-EUK-3B,decoder,genomic,0.9688691252376008,0.017514381725859902,0.016217614293558648,0.016194353254974578,0.019148341123326685,0.01658893285358083,0.9517364005873407,0.990929672322166,0.4318880869349469,0.8149696411965439,0.7669279631622465,0.40605495360785243,-0.022060547084565174,1
EuroBERT/EuroBERT-2.1B,EuroBERT-2.1B,encoder,text,0.9977414719034632,0.06482330544320554,0.04717126445225402,0.04060900770269803,0.051665524865586565,0.03838257115191648,0.949211137180331,0.9977994831890805,0.9950389608880763,0.9954623768345942,0.9972129108983331,0.9952795234274264,-5.801128561733204e-05,1
OLMo-7B-0724-hf,OLMo-7B,decoder,text,0.9645646658087472,0.016494256579596158,0.016785566027863602,0.021186763480226627,0.020679631300621008,0.016416607782331984,0.9462521007746193,0.33482750868503786,0.5496406019001573,0.44797036349182423,0.613347977102995,0.24777819772073978,0.3512166887057522,0
Qwen2.5-7B,Qwen2.5-7B,decoder,text,0.9529104185966226,0.015042962596322361,0.007993482430059835,0.007174449938424375,0.00979111429356171,0.007551798070321333,0.9433996571308847,0.8853575360321501,0.949095795378671,0.8811859205664887,0.7482856629507358,0.5567821161949712,0.0038146232179516737,0
GenerTeam/GENERator-v2-prokaryote-3b-base,GEN-PROK-3B,decoder,genomic,0.9349735339906993,0.008751366448971109,0.008107479328136786,0.008265001776592472,0.0109473607400331,0.00904271623012913,0.9259507490859268,0.9193519946937394,0.22193555380238092,0.873398235003808,0.8174951106836882,0.10769741926193246,0.015621539296959863,0
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.9243918826992876,0.026756453978158307,0.04373514322701722,0.03942907953994088,0.034721224103136585,0.03898734449633432,0.8876660336303701,0.18141096179102179,0.10373722132941549,0.34556639823375057,0.06228028234260725,0.04536039414480227,0.578825484465537,0
