model,candidate_q1,topk_gap,rank_of_6,architecture,domain,non_embed_params
Qwen/Qwen2.5-0.5B,0.9981566830594915,0.137987549264465,1,decoder,text,357898112
Qwen/Qwen2.5-1.5B,0.9950986414892139,0.0007197232036064705,1,decoder,text,1310340608
Qwen/Qwen2.5-3B,0.8173600221565074,0.06042661189303833,1,decoder,text,2774773760
HuggingFaceTB/SmolLM2-135M,0.9243918826992876,0.578825484465537,1,decoder,text,106203456
HuggingFaceTB/SmolLM2-360M,0.9742504779226074,-0.015615274748995822,2,decoder,text,314635200
HuggingFaceTB/SmolLM2-1.7B,0.9663919138439866,0.04431673357766586,1,decoder,text,1610713088
GenerTeam/GENERator-v2-prokaryote-1.2b-base,0.8468514071586394,0.08173108070496926,1,decoder,genomic,1145153536
GenerTeam/GENERator-v2-prokaryote-3b-base,0.9349735339906993,0.015621539296959863,1,decoder,genomic,2972900352
EuroBERT/EuroBERT-210m,0.9838491163147411,-0.0012967114792447054,3,encoder,text,113265408
EuroBERT/EuroBERT-610m,0.9996238293034939,0.0005922994476051935,1,encoder,text,460123776
EuroBERT/EuroBERT-2.1B,0.9977414719034632,-5.801128561733204e-05,2,encoder,text,1812089088
answerdotai/ModernBERT-large,0.9701337490592893,-0.002568808833806502,2,encoder,text,344253440
ModernBERT-base,0.8969889514776362,0.19329420914272644,1,encoder,text,110972608
DNABERT-2,0.7933113982887914,-0.07310727831917307,2,encoder,genomic,113925376
GENERator-EUK-3B,0.9688691252376008,-0.022060547084565174,2,decoder,genomic,2972900352
Llama-7B,0.9888168037615837,0.16775571504089293,1,decoder,text,6476273664
Mistral-7B,0.9922047361078123,0.026282082064083223,1,decoder,text,6979588096
OLMo-7B-0724-hf,0.9645646658087472,0.3512166887057522,1,decoder,text,6476005376
MosaicBERT,0.4765682244122918,0.011454908147340626,1,encoder,text,113951808
GenomeOcean-4B,0.89890771668117,-0.07463782802093077,5,decoder,genomic,4228008960
Qwen2.5-7B,0.9529104185966226,0.0038146232179516737,1,decoder,text,6525621760
NTv3,0.3888939675174816,0.3693753565274237,1,encoder,genomic,651829819
