model,epsilon,median_topk_control_effect,median_random_control_effect,difference_topk_minus_random
DNABERT-2,0.5,2.2694156801096355e-05,1.3518807631645606e-06,2.1342276037931794e-05
EuroBERT/EuroBERT-2.1B,0.5,-0.0002913656797838437,1.0481994248537753e-05,-0.00030184767403238145
EuroBERT/EuroBERT-210m,0.5,0.00123094865626647,-4.861109799560679e-06,0.0012358097660660305
EuroBERT/EuroBERT-610m,0.5,-2.040716678909834e-05,-7.3482160936709145e-06,-1.3058950695427426e-05
GENERator-EUK-3B,0.5,0.0001472788274597365,7.2105654050200855e-06,0.00014006826205471642
GenerTeam/GENERator-v2-prokaryote-1.2b-base,0.5,0.0003864731101406456,-8.648823584416378e-06,0.00039512193372506196
GenerTeam/GENERator-v2-prokaryote-3b-base,0.5,0.00021037347244999295,-1.013545390355065e-06,0.00021138701784034801
GenomeOcean-4B,0.5,0.003090892218824625,-6.627140365994572e-06,0.0030975193591906195
HuggingFaceTB/SmolLM2-1.7B,0.5,1.602231955898918e-05,-6.545614582564039e-06,2.256793414155322e-05
HuggingFaceTB/SmolLM2-135M,0.5,0.0016355582297667706,6.740605940561505e-06,0.001628817623826209
HuggingFaceTB/SmolLM2-360M,0.5,0.0024468959609919563,1.3331685505027129e-05,0.0024335642754869293
Llama-7B,0.5,-0.00011446044732521884,2.853531508888723e-06,-0.00011731397883410757
Mistral-7B,0.5,-0.0007206388693757244,1.7121785923554652e-06,-0.0007223510479680799
ModernBERT-base,0.5,0.0003168723033191138,1.3859699371800636e-05,0.0003030126039473132
MosaicBERT,0.5,0.00016426462365209097,-2.449226962061112e-05,0.00018875689327270208
NTv3,0.5,2.7150934400726233e-06,-8.554853339529772e-07,3.5705787740256003e-06
OLMo-7B-0724-hf,0.5,0.0004391828921281766,-3.921241632109546e-06,0.00044310413376028615
Qwen/Qwen2.5-0.5B,0.5,0.0028255145755731377,4.6260265514376735e-05,0.002779254310058761
Qwen/Qwen2.5-1.5B,0.5,0.005758582048861584,9.896717111325504e-06,0.005748685331750258
Qwen/Qwen2.5-3B,0.5,0.0021816625649246405,1.3108243494329004e-05,0.0021685543214303117
Qwen2.5-7B,0.5,0.004059784614348421,-2.9973117508913253e-06,0.004062781926099312
answerdotai/ModernBERT-large,0.5,0.0005615824681737487,-4.662217224469844e-06,0.0005662446853982186
DNABERT-2,1.0,6.713888036845243e-05,1.0589183390887352e-05,5.654969697756508e-05
EuroBERT/EuroBERT-2.1B,1.0,-0.00042543746825680624,2.3816566404107678e-05,-0.0004492540346609139
EuroBERT/EuroBERT-210m,1.0,0.001894809587896423,-1.5297664337805453e-05,0.0019101072522342286
EuroBERT/EuroBERT-610m,1.0,-4.066930189236431e-05,-1.3748100464335167e-05,-2.6921201428029145e-05
GENERator-EUK-3B,1.0,0.0004622170690468023,1.9056854331654044e-05,0.0004431602147151483
GenerTeam/GENERator-v2-prokaryote-1.2b-base,1.0,0.0008277056759667331,-1.6956786600080415e-05,0.0008446624625668135
GenerTeam/GENERator-v2-prokaryote-3b-base,1.0,0.0005310503198909757,-1.8812235973994377e-06,0.0005329315434883751
GenomeOcean-4B,1.0,0.005340990379857566,-1.30559581011994e-05,0.0053540463379587655
HuggingFaceTB/SmolLM2-1.7B,1.0,6.076713214105126e-05,-8.076944850709427e-06,6.884407699176068e-05
HuggingFaceTB/SmolLM2-135M,1.0,0.004176723237645929,4.040309935367159e-05,0.004136320138292258
HuggingFaceTB/SmolLM2-360M,1.0,0.006444731559455412,3.85740744674044e-05,0.006406157484988008
Llama-7B,1.0,-6.839751177491334e-05,8.801048710602857e-06,-7.71985604855162e-05
Mistral-7B,1.0,0.0002034310600066514,5.021813317536439e-06,0.00019840924668911497
ModernBERT-base,1.0,0.002478398338655532,6.485239069165062e-05,0.0024135459479638815
MosaicBERT,1.0,0.0003703234784403475,-1.6049310355068717e-05,0.0003863727887954162
NTv3,1.0,1.370394225968748e-05,-1.703074537723427e-06,1.5407016797410908e-05
OLMo-7B-0724-hf,1.0,0.0013813760743563751,-7.3944507730981204e-06,0.0013887705251294732
Qwen/Qwen2.5-0.5B,1.0,0.008502666128516434,0.00011915615508058293,0.008383509973435852
Qwen/Qwen2.5-1.5B,1.0,0.006373721620868946,2.832389115790904e-05,0.006345397729711037
Qwen/Qwen2.5-3B,1.0,0.007056384845908851,3.21924115075715e-05,0.00702419243440128
Qwen2.5-7B,1.0,0.008742389535685343,-4.6442721132295654e-07,0.008742853962896665
answerdotai/ModernBERT-large,1.0,0.0026229879484598946,1.0745592769516807e-05,0.0026122423556903776
