model,layer,row,q1,pr_spec,norm
ModernBERT-base,15,23,0.025985871518364984,116.0637496387958,35.35804687872899
ModernBERT-base,15,325,0.03970715284424818,105.68550854339635,36.14222705258365
ModernBERT-base,15,421,0.0321745769116526,104.63939902158253,32.814745910534384
ModernBERT-base,15,487,0.029059175475673667,110.38404929566623,36.69639680908699
ModernBERT-base,15,687,0.03900056701980991,93.98384829471982,34.248786171819376
DNABERT-2,5,72,0.06740375911840832,115.74335342660866,10.98945630326501
DNABERT-2,5,216,0.07587599359545452,102.97850817173668,10.800136036868293
DNABERT-2,5,513,0.06228591250035312,114.91939516910799,7.738886258579987
DNABERT-2,5,542,0.0801222639371381,95.5617479522335,11.291074036984716
DNABERT-2,5,757,0.06717828662260514,118.17665236954244,10.226904610241384
GENERator-EUK-3B,4,435,0.017514381725859902,339.0801392920889,17.922610061530268
GENERator-EUK-3B,4,915,0.016217614293558648,337.323613253002,17.3782264657972
GENERator-EUK-3B,4,1058,0.016194353254974578,340.24433196098585,18.10921623931764
GENERator-EUK-3B,4,1490,0.019148341123326685,324.2358246879861,18.09153543198131
GENERator-EUK-3B,4,2073,0.01658893285358083,327.8362239640825,17.952983275258525
Llama-7B,2,892,0.00946815688611225,783.3459733384701,4.204048484897717
Llama-7B,2,2034,0.00988213694012179,773.5283134806948,4.166705224067101
Llama-7B,2,2379,0.009855889226599978,774.015138388372,4.211966867958492
Llama-7B,2,3729,0.009131788563388319,786.9126968388866,4.18283907922662
Llama-7B,2,3751,0.009503967436291215,783.2450850691504,4.1801173574182915
Mistral-7B,1,190,0.005832304687668866,794.6285222091108,0.014275657385256291
Mistral-7B,1,305,0.04005636313383796,354.2346008638431,0.01415719929298726
Mistral-7B,1,746,0.011299818276567168,597.390117162606,0.014034254071235406
Mistral-7B,1,1912,0.007501622583115647,765.553461231774,0.014167441703783644
Mistral-7B,1,2687,0.0061078199664704805,787.9008513066569,0.014189054319560968
OLMo-7B-0724-hf,1,292,0.016494256579596158,558.9960168794329,0.0233074624814014
OLMo-7B-0724-hf,1,437,0.016785566027863602,556.2049608271226,0.02322446079109317
OLMo-7B-0724-hf,1,2877,0.021186763480226627,448.9740092454281,0.02334337402115058
OLMo-7B-0724-hf,1,2908,0.020679631300621008,481.8758169961412,0.023263911745162152
OLMo-7B-0724-hf,1,3160,0.016416607782331984,544.2014719401012,0.022839175459514343
MosaicBERT,9,56,0.042333749953047506,146.99513302081266,3.9608521417966442
MosaicBERT,9,173,0.033493055127374584,175.4147693253802,3.459578231382075
MosaicBERT,9,193,0.038086605686862576,162.4774395853117,4.185848737910775
MosaicBERT,9,517,0.035046992465443585,168.594717429765,3.930405772884907
MosaicBERT,9,545,0.03448078740664126,170.03645386259777,3.81275768033781
GenomeOcean-4B,1,569,0.02883989192046366,363.4545154840431,0.11152825029513563
GenomeOcean-4B,1,739,0.029424496697787118,358.03710262434583,0.10987215460715846
GenomeOcean-4B,1,1012,0.02681506105890738,350.86828418373517,0.11086610373399572
GenomeOcean-4B,1,1471,0.024763856265341548,391.99069018028945,0.11020212278815876
GenomeOcean-4B,1,2581,0.023416661446886883,421.5210131690724,0.10713949551688354
Qwen2.5-7B,26,62,0.015042962596322361,913.1271877428803,2.6662156327493673
Qwen2.5-7B,26,1257,0.007993482430059835,1068.0682431779042,2.6609288335011767
Qwen2.5-7B,26,2926,0.007174449938424375,1121.8056734790337,2.514955124578612
Qwen2.5-7B,26,3419,0.00979111429356171,1032.9557826617336,2.6101771259278723
Qwen2.5-7B,26,3553,0.007551798070321333,1113.2552951919133,2.6806766614562143
NTv3,11,2,0.0175452229630522,427.40453230240627,106.67736781220785
NTv3,11,142,0.017524136197256946,418.85523929297216,111.10946508783931
NTv3,11,527,0.017900903174676977,428.03973066666157,110.19570006538048
NTv3,11,924,0.017818291359969273,426.0383296537691,108.29066708820721
NTv3,11,1152,0.01863409682025933,419.64031145774504,105.70726793198708
