model,epsilon,structural_topk_gap_q1,causal_topk_gap,causal_random_control_gap,candidate_relative_loss_change,median_topk_control_relative_loss_change,median_random_control_relative_loss_change
DNABERT-2,0.5,-0.07310727831917307,0.0030839964039369827,0.0031053386799749145,0.003106690560738079,2.2694156801096355e-05,1.3518807631645606e-06
DNABERT-2,1.0,-0.07310727831917307,0.008228232555537639,0.008284782252515204,0.008295371435906092,6.713888036845243e-05,1.0589183390887352e-05
EuroBERT/EuroBERT-2.1B,0.5,-5.801128561733204e-05,0.0005082802603514035,-4.921311669156121e-05,0.00021691458056755973,-0.0002913656797838437,1.0481994248537753e-05
EuroBERT/EuroBERT-2.1B,1.0,-5.801128561733204e-05,0.0008635387639483433,-0.0001428010336684095,0.0004381012956915371,-0.00042543746825680624,2.3816566404107678e-05
EuroBERT/EuroBERT-210m,0.5,-0.0012967114792447054,0.0005290478468488252,0.0009987249968849252,0.001759996503115295,0.00123094865626647,-4.861109799560679e-06
EuroBERT/EuroBERT-210m,1.0,-0.0012967114792447054,0.0007805891866843266,0.0016044689181243473,0.0026753987745807496,0.001894809587896423,-1.5297664337805453e-05
EuroBERT/EuroBERT-610m,0.5,0.0005922994476051935,6.42550797952928e-05,-0.008376722490132245,4.384791300619445e-05,-2.040716678909834e-05,-7.3482160936709145e-06
EuroBERT/EuroBERT-610m,1.0,0.0005922994476051935,0.0001325408318581168,0.009233662130237843,9.187152996575249e-05,-4.066930189236431e-05,-1.3748100464335167e-05
GENERator-EUK-3B,0.5,-0.022060547084565174,0.04275754176081314,0.04289761002286785,0.04290482058827287,0.0001472788274597365,7.2105654050200855e-06
GENERator-EUK-3B,1.0,-0.022060547084565174,0.37053197398918447,0.3709751342038996,0.3709941910582313,0.0004622170690468023,1.9056854331654044e-05
GenerTeam/GENERator-v2-prokaryote-1.2b-base,0.5,0.08173108070496926,0.0014372987221642763,0.0018324206558893383,0.0018237718323049219,0.0003864731101406456,-8.648823584416378e-06
GenerTeam/GENERator-v2-prokaryote-1.2b-base,1.0,0.08173108070496926,0.00521510627182131,0.006059768734388123,0.006042811947788043,0.0008277056759667331,-1.6956786600080415e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,0.5,0.015621539296959863,0.001199124914750127,0.001410511932590475,0.00140949838720012,0.00021037347244999295,-1.013545390355065e-06
GenerTeam/GENERator-v2-prokaryote-3b-base,1.0,0.015621539296959863,0.0019706013987689213,0.002503532942257296,0.002501651718659897,0.0005310503198909757,-1.8812235973994377e-06
GenomeOcean-4B,0.5,-0.07463782802093077,0.0011677747836797143,0.004265294142870334,0.0042586670025043395,0.003090892218824625,-6.627140365994572e-06
GenomeOcean-4B,1.0,-0.07463782802093077,0.002300135854766681,0.0076541821927254465,0.007641126234624247,0.005340990379857566,-1.30559581011994e-05
HuggingFaceTB/SmolLM2-1.7B,0.5,0.04431673357766586,0.03903973385406842,0.03906230178820997,0.03905575617362741,1.602231955898918e-05,-6.545614582564039e-06
HuggingFaceTB/SmolLM2-1.7B,1.0,0.04431673357766586,6.988677705815813,6.988746549892805,6.988738472947954,6.076713214105126e-05,-8.076944850709427e-06
HuggingFaceTB/SmolLM2-135M,0.5,0.578825484465537,0.036172813199764876,0.03780163082359109,0.03780837142953165,0.0016355582297667706,6.740605940561505e-06
HuggingFaceTB/SmolLM2-135M,1.0,0.578825484465537,3.1299985588769803,3.1341348790152725,3.1341752821146263,0.004176723237645929,4.040309935367159e-05
HuggingFaceTB/SmolLM2-360M,0.5,-0.015615274748995822,0.020234005216115406,0.022667569491602337,0.022680901177107363,0.0024468959609919563,1.3331685505027129e-05
HuggingFaceTB/SmolLM2-360M,1.0,-0.015615274748995822,0.5850999692643177,0.5915061267493058,0.5915447008237732,0.006444731559455412,3.85740744674044e-05
Llama-7B,0.5,0.16775571504089293,0.03866534768964256,0.03854803371080845,0.03855088724231734,-0.00011446044732521884,2.853531508888723e-06
Llama-7B,1.0,0.16775571504089293,3.008013991096931,3.0079367925364453,3.007945593585156,-6.839751177491334e-05,8.801048710602857e-06
Mistral-7B,0.5,0.026282082064083223,3.014510096666291,3.013787745618323,3.013789457796915,-0.0007206388693757244,1.7121785923554652e-06
Mistral-7B,1.0,0.026282082064083223,2.871288946248387,2.871487355495076,2.871492377308394,0.0002034310600066514,5.021813317536439e-06
ModernBERT-base,0.5,0.19329420914272644,0.10894629759376524,0.10924931019771256,0.10926316989708436,0.0003168723033191138,1.3859699371800636e-05
ModernBERT-base,1.0,0.19329420914272644,3.5679619164691436,3.570375462417107,3.570440314807799,0.002478398338655532,6.485239069165062e-05
MosaicBERT,0.5,0.011454908147340626,-0.0018992452695359154,-0.0017104883762632133,-0.0017349806458838244,0.00016426462365209097,-2.449226962061112e-05
MosaicBERT,1.0,0.011454908147340626,0.0033718339360627107,0.0037582067248581267,0.003742157414503058,0.0003703234784403475,-1.6049310355068717e-05
NTv3,0.5,0.3693753565274237,-0.00498375479942263,-0.004980184220648604,-0.004981039705982557,2.7150934400726233e-06,-8.554853339529772e-07
NTv3,1.0,0.3693753565274237,-0.007963070673319523,-0.007947663656522112,-0.007949366731059835,1.370394225968748e-05,-1.703074537723427e-06
OLMo-7B-0724-hf,0.5,0.3512166887057522,0.0058488688759198715,0.006291973009680158,0.006288051768048048,0.0004391828921281766,-3.921241632109546e-06
OLMo-7B-0724-hf,1.0,0.3512166887057522,1.116376680827876,1.1177654513530053,1.1177580569022323,0.0013813760743563751,-7.3944507730981204e-06
Qwen/Qwen2.5-0.5B,0.5,0.137987549264465,0.002338472765433345,0.005117727075492106,0.005163987341006483,0.0028255145755731377,4.6260265514376735e-05
Qwen/Qwen2.5-0.5B,1.0,0.137987549264465,-0.002946635027736578,0.005436874945699274,0.005556031100779856,0.008502666128516434,0.00011915615508058293
Qwen/Qwen2.5-1.5B,0.5,0.0007197232036064705,0.00023284333001626686,0.005981528661766525,0.005991425378877851,0.005758582048861584,9.896717111325504e-06
Qwen/Qwen2.5-1.5B,1.0,0.0007197232036064705,0.00010680409496337858,0.006452201824674416,0.006480525715832325,0.006373721620868946,2.832389115790904e-05
Qwen/Qwen2.5-3B,0.5,0.06042661189303833,0.01818613257110251,0.02035468689253282,0.02036779513602715,0.0021816625649246405,1.3108243494329004e-05
Qwen/Qwen2.5-3B,1.0,0.06042661189303833,0.02469881441060862,0.0317230068450099,0.03175519925651747,0.007056384845908851,3.21924115075715e-05
Qwen2.5-7B,0.5,0.0038146232179516737,0.0019396587832984594,0.006002440709397772,0.005999443397646881,0.004059784614348421,-2.9973117508913253e-06
Qwen2.5-7B,1.0,0.0038146232179516737,-0.0013618293745707695,0.007381024588325897,0.0073805601611145735,0.008742389535685343,-4.6442721132295654e-07
answerdotai/ModernBERT-large,0.5,-0.002568808833806502,0.08034066146464437,0.08090690615004259,0.08090224393281813,0.0005615824681737487,-4.662217224469844e-06
answerdotai/ModernBERT-large,1.0,-0.002568808833806502,2.2040240087623912,2.206636251118082,2.2066469967108513,0.0026229879484598946,1.0745592769516807e-05
