predictor,epsilon,panel,n,rho,p,ci_low,ci_high,seed,loo_rho_min,loo_rho_max,underpowered_n_lt_8
q1,0.5,all-22,22,0.11462450592885377,0.6115002138101081,-0.40947986765338296,0.6179448917537363,43,0.00909090909090909,0.28181818181818186,False
layer_relative_frobenius,0.5,all-22,22,0.34839073969508755,0.11206951041950931,-0.13879803618213904,0.7406285714285705,44,0.28441558441558445,0.5506493506493506,False
q1,1.0,all-22,22,0.07396950875211745,0.7435587990333694,-0.39137110223394356,0.5126210742445426,43,-0.06493506493506493,0.18961038961038962,False
layer_relative_frobenius,1.0,all-22,22,0.4409937888198759,0.03993999904430384,0.0621745860630587,0.7173826180122267,44,0.3649350649350649,0.5376623376623377,False
q1,0.5,text-decoders-only,10,-0.16363636363636364,0.6514773427962428,-0.8076923076923078,0.7749999999999999,43,-0.31666666666666665,0.15,False
layer_relative_frobenius,0.5,text-decoders-only,10,-0.06666666666666665,0.8548130882487426,-0.6400256410256411,0.6981132075471699,44,-0.2333333333333333,0.2333333333333333,False
q1,1.0,text-decoders-only,10,-0.33333333333333326,0.34659350708733405,-0.8875,0.5346879535558767,43,-0.5166666666666667,-0.08333333333333334,False
layer_relative_frobenius,1.0,text-decoders-only,10,-0.04242424242424241,0.907363817812816,-0.6993627450980391,0.6842436279377685,44,-0.21666666666666667,0.2333333333333333,False
q1,0.5,text-encoders-only,6,-0.4285714285714286,0.3965014577259474,-1.0,0.7419354838709679,43,-0.9999999999999999,0.0,True
layer_relative_frobenius,0.5,text-encoders-only,6,0.028571428571428574,0.9571545189504373,-1.0,1.0,44,-0.19999999999999998,0.7999999999999999,True
q1,1.0,text-encoders-only,6,-0.3714285714285715,0.46847813411078715,-1.0,0.8000000000000002,43,-0.7,-0.19999999999999998,True
layer_relative_frobenius,1.0,text-encoders-only,6,0.5428571428571429,0.26570262390670557,-1.0,0.8000000000000002,44,0.49999999999999994,0.49999999999999994,True
q1,0.5,genomic-only,6,0.6,0.20799999999999982,-0.8000000000000002,1.0,43,0.3,0.8999999999999998,True
layer_relative_frobenius,0.5,genomic-only,6,0.6571428571428573,0.15617492711370237,-0.33333333333333326,1.0,44,0.49999999999999994,0.7999999999999999,True
q1,1.0,genomic-only,6,0.48571428571428577,0.3287230320699709,-1.0,1.0,43,0.09999999999999999,0.7,True
layer_relative_frobenius,1.0,genomic-only,6,0.48571428571428577,0.3287230320699709,-0.6000000000000001,1.0,44,0.3,0.6,True
