model,candidate_q1,PR_spec,frobenius_norm_Uk,layer_median_norm,layer_relative_frobenius,mean_random_control_q1,mean_topk_norm_control_q1,random_control_gap,topk_by_norm_gap,control_source,cross_check_batch
DNABERT-2,0.7933113982887636,1.503287698117315,74.00855774610585,10.464545695763604,5.018335080977002,0.07057324315479183,0.3668249956959203,0.7227381551339995,-0.07310727831917307,batch2_this_session_seedsequence42,batch2_round2
EuroBERT/EuroBERT-2.1B,0.9977414719034632,1.0045322505182814,2.750915946112038,0.13168519289261493,20.893724690144545,0.048530334723132125,0.9961586510475021,0.949211137180331,-5.801128561733204e-05,original_12panel_scale_ladder_controls,original_E11_12panel
EuroBERT/EuroBERT-210m,0.9838491163147434,1.0329040152598965,2.0419119424635404,0.13742631619989912,14.949934194686236,0.13411919378734444,0.9827814863300286,0.8497299225273967,-0.0012967114792447054,original_12panel_scale_ladder_controls,original_E11_12panel
EuroBERT/EuroBERT-610m,0.9996238293034937,1.0007527536463374,8.106532412548177,0.1403717957443827,57.21725262189751,0.03247230908961171,0.9783806492087261,0.9671515202138822,0.0005922994476051935,original_12panel_scale_ladder_controls,original_E11_12panel
GENERator-EUK-3B,0.9688691252375834,1.0652593586761891,522.1322102348346,18.033658174741177,12.244005701455277,0.01713272465026013,0.6821540634447512,0.9517364005873407,-0.022060547084565174,batch2_this_session_seedsequence42,batch2_round2
GenerTeam/GENERator-v2-prokaryote-1.2b-base,0.8468514071586476,1.3942039532761663,6.219604570429286,1.9310770040102005,3.222349081478031,0.012781862905893235,0.3250249911342955,0.8340695442527462,0.08173108070496926,original_12panel_scale_ladder_controls,original_E11_12panel
GenerTeam/GENERator-v2-prokaryote-3b-base,0.934973533990709,1.143862862462253,52.16156499457906,6.787787233753656,7.656615220640426,0.00902278490477252,0.5879756626891097,0.9259507490859268,0.015621539296959863,original_12panel_scale_ladder_controls,original_E11_12panel
GenomeOcean-4B,0.8989077166811766,1.2243008136348879,2.8832156466529963,0.10883850548246671,19.50444951690311,0.026651993477877323,0.9083518706971434,0.8722557232032927,-0.07463782802093077,batch2_this_session_seedsequence42,batch2_round2
HuggingFaceTB/SmolLM2-1.7B,0.9663919138439745,1.0707002949326883,3922.6019896226653,253.9233510409025,15.535443754242134,0.013127305657248118,0.41694727956349487,0.9532646081867385,0.04431673357766586,original_12panel_scale_ladder_controls,original_E11_12panel
HuggingFaceTB/SmolLM2-135M,0.9243918826993042,1.169251561735028,2002.997197003894,160.1367913938857,12.47718017297001,0.03672584906891746,0.1476710515683195,0.8876660336303701,0.578825484465537,original_12panel_scale_ladder_controls,original_E11_12panel
HuggingFaceTB/SmolLM2-360M,0.9742504779226046,1.0535466426798263,5692.495943194842,252.40556929795804,22.37669908683808,0.016608662278221515,0.5059611819838365,0.9576418156443859,-0.015615274748995822,original_12panel_scale_ladder_controls,original_E11_12panel
Llama-7B,0.9888168037615727,1.022653174688543,137.61641832032996,4.221110555763778,29.40138041715147,0.00956838781050271,0.521989706301168,0.9792484159510809,0.16775571504089293,batch2_this_session_seedsequence42,batch2_round2
Mistral-7B,0.9922047361077938,1.0157714240616442,0.38834723364706875,0.014103811483376704,26.83185497075223,0.014159585729532026,0.8472162181319891,0.9780451503782803,0.026282082064083223,batch2_this_session_seedsequence42,batch2_round2
ModernBERT-base,0.8969889514776379,1.2336584717613133,836.046538392924,35.50295169245308,23.548648733071218,0.03318546875394987,0.6061601454946681,0.8638034827236863,0.19329420914272644,batch2_this_session_seedsequence42,batch2_round2
MosaicBERT,0.4765682244123624,4.115864702588391,19.997746047192482,3.9607336472288366,5.049000470198418,0.036688238127873904,0.27658590552400486,0.4398799862844179,0.011454908147340626,batch2_this_session_seedsequence42,batch2_round2
NTv3,0.38889396751753286,6.4803244910178845,441.5173190114778,108.86144505198963,3.612997884175097,0.017884530103042945,0.01851452443215596,0.3710094374144387,0.3693753565274237,batch2_this_session_seedsequence42,batch2_round2
OLMo-7B-0724-hf,0.964564665808712,1.07470169944751,0.9110752807676615,0.02324108935982954,39.201088887877,0.018312565034127877,0.43871292978015086,0.9462521007746193,0.3512166887057522,batch2_this_session_seedsequence42,batch2_round2
Qwen/Qwen2.5-0.5B,0.9981566830594912,1.003696649788444,18.726591709019885,0.5904964978142284,30.623268771468037,0.029658948785165513,0.7601590260875631,0.968497734274326,0.137987549264465,original_12panel_scale_ladder_controls,original_E11_12panel
Qwen/Qwen2.5-1.5B,0.9950986414892103,1.0098722524248653,86.68857568622904,3.797875938255346,22.28607583079485,0.018148370259608727,0.9802293107484988,0.9769502712296052,0.0007197232036064705,original_12panel_scale_ladder_controls,original_E11_12panel
Qwen/Qwen2.5-3B,0.8173600221565082,1.4393617425532852,37.905147328895474,4.589037390143638,8.318105315988955,0.027163481976274002,0.6791744965283139,0.7901965401802333,0.06042661189303833,original_12panel_scale_ladder_controls,original_E11_12panel
Qwen2.5-7B,0.9529104185966117,1.0995461100252455,29.68742128221388,2.6286792410341286,9.28343928087795,0.009510761465737923,0.8041414062246034,0.9433996571308847,0.0038146232179516737,batch2_this_session_seedsequence42,batch2_round2
answerdotai/ModernBERT-large,0.9701337490592797,1.0621492362619986,708.1322939648359,24.38616392218389,26.575958286152655,0.42637999303077284,0.9402475498063362,0.5437537560285164,-0.002568808833806502,original_12panel_scale_ladder_controls,original_E11_12panel
