model	epsilon	candidate_R	R_random_ctrl1	R_random_ctrl2	R_random_ctrl3	R_random_ctrl4	R_random_ctrl5	R_topnorm_rank2	R_topnorm_rank3	R_topnorm_rank4	R_topnorm_rank5	R_topnorm_rank6	median_random_control_R	median_topnorm_control_R	causal_random_control_gap	causal_topnorm_control_gap
DNABERT-2	0.5	0.003106690560738079	-8.49168313720839e-06	1.3518807631645606e-06	5.3272880228548335e-05	-5.303856776098012e-06	1.367627409227114e-05	0.0003477334648928465	0.00035872164542334123	-5.4580277199340465e-06	2.2694156801096355e-05	1.2305372831064471e-05	1.3518807631645606e-06	2.2694156801096355e-05	0.0031053386799749145	0.0030839964039369827
DNABERT-2	1.0	0.008295371435906092	-1.0196971140957575e-05	1.0589183390887352e-05	0.00011458102005853469	5.615471375695601e-06	3.381520714192586e-05	0.00559384648324176	0.0025343808887007594	5.461473759948653e-05	6.713888036845243e-05	3.506360407992685e-05	1.0589183390887352e-05	6.713888036845243e-05	0.008284782252515204	0.008228232555537639
EuroBERT/EuroBERT-2.1B	0.5	0.00021691458056755973	-4.549369936865021e-07	1.738597051916562e-05	-3.006272837080555e-06	1.0481994248537753e-05	2.0189366048188806e-05	-0.00034809962669051794	-0.0006370423958761064	-0.0002913656797838437	0.0013558534471582748	6.591293315814222e-07	1.0481994248537753e-05	-0.0002913656797838437	-4.921311669156121e-05	0.0005082802603514035
EuroBERT/EuroBERT-2.1B	1.0	0.0004381012956915371	-3.504244409912655e-07	3.522073023468464e-05	-5.176445253473666e-06	2.3816566404107678e-05	4.150377898647419e-05	-0.0006987015036210776	-0.0010725926169323724	-0.00042543746825680624	0.0029115085244618005	4.777467043731918e-05	2.3816566404107678e-05	-0.00042543746825680624	-0.0001428010336684095	0.0008635387639483433
EuroBERT/EuroBERT-210m	0.5	0.001759996503115295	-0.00032033684451960556	-0.00021845936405199943	0.00020553474459762146	9.465543315649308e-05	-4.861109799560679e-06	0.00123094865626647	0.0013206828214349527	0.0013656285863441098	-6.436214167036276e-05	-0.00035708459979859125	-4.861109799560679e-06	0.00123094865626647	0.0009987249968849252	0.0005290478468488252
EuroBERT/EuroBERT-210m	1.0	0.0026753987745807496	-0.0006281728275996003	-0.00041050649640401993	0.00042719045481926285	0.0001938995602456802	-1.5297664337805453e-05	0.0020229891474497015	0.001894809587896423	0.002167014116716564	-0.00036257420507372737	-0.0008485707152945667	-1.5297664337805453e-05	0.001894809587896423	0.0016044689181243473	0.0007805891866843266
EuroBERT/EuroBERT-610m	0.5	4.384791300619445e-05	1.2138646054639443e-05	-7.3482160936709145e-06	-0.00018525524733079997	0.00010267452089086335	-1.1488361444418067e-05	2.141030261587275e-05	0.00012677582234783816	-8.187642961973508e-05	-2.040716678909834e-05	-4.483896285913159e-05	-7.3482160936709145e-06	-2.040716678909834e-05	-0.008376722490132245	6.42550797952928e-05
EuroBERT/EuroBERT-610m	1.0	9.187152996575249e-05	2.584339421175498e-05	-1.3748100464335167e-05	-0.0003614010910820975	0.00020897437848301233	-2.142687790154331e-05	4.508068233544724e-05	0.0002550321764880559	-0.0001615169540832281	-4.066930189236431e-05	-8.776229886838645e-05	-1.3748100464335167e-05	-4.066930189236431e-05	0.009233662130237843	0.0001325408318581168
GENERator-EUK-3B	0.5	0.04290482058827287	1.0724462876826533e-05	1.8480072574255856e-05	7.2105654050200855e-06	-6.777722386921341e-06	4.587930632780277e-06	0.01753411959463914	-0.00026201275125493575	0.0003215242323458541	0.0001472788274597365	7.105085005990439e-05	7.2105654050200855e-06	0.0001472788274597365	0.04289761002286785	0.04275754176081314
GENERator-EUK-3B	1.0	0.3709941910582313	2.6158858936598123e-05	1.9056854331654044e-05	1.404308159207964e-05	-1.0576883663709892e-05	2.1459940521057942e-05	0.10790842709520151	-0.00039907547535422314	0.0017577183694456192	0.0004622170690468023	0.00022003257921927657	1.9056854331654044e-05	0.0004622170690468023	0.3709751342038996	0.37053197398918447
GenerTeam/GENERator-v2-prokaryote-1.2b-base	0.5	0.0018237718323049219	8.963283592602203e-06	-8.648823584416378e-06	-6.4264830784001215e-06	-2.4605908964166077e-05	-2.211838949623826e-05	0.0016257541357476062	0.0021114604989303045	0.00021865706799244805	0.0003864731101406456	-0.0006895885042217362	-8.648823584416378e-06	0.0003864731101406456	0.0018324206558893383	0.0014372987221642763
GenerTeam/GENERator-v2-prokaryote-1.2b-base	1.0	0.006042811947788043	1.8679276495822035e-05	-1.6956786600080415e-05	-1.275147066926459e-05	-5.120418021927605e-05	-4.32423578842154e-05	0.0038862000371176976	0.0044581142035241255	0.0005131471056538274	0.0008277056759667331	-0.0015168529974903947	-1.6956786600080415e-05	0.0008277056759667331	0.006059768734388123	0.00521510627182131
GenerTeam/GENERator-v2-prokaryote-3b-base	0.5	0.00140949838720012	-1.013545390355065e-06	-2.3638008629691156e-05	1.926951801779931e-05	6.407736991929976e-06	-9.565877283147893e-06	1.0630360420511126e-05	0.0003493281722484171	-0.00037745391212452736	0.00021037347244999295	0.0013745134166688764	-1.013545390355065e-06	0.00021037347244999295	0.001410511932590475	0.001199124914750127
GenerTeam/GENERator-v2-prokaryote-3b-base	1.0	0.002501651718659897	-1.8812235973994377e-06	-4.683610035695084e-05	3.888633885336442e-05	1.2939924160001412e-05	-1.913812178480658e-05	1.4874400856261508e-05	0.0005880473430259517	-0.0007059578074064672	0.0005310503198909757	0.0028200062679245835	-1.8812235973994377e-06	0.0005310503198909757	0.002503532942257296	0.0019706013987689213
GenomeOcean-4B	0.5	0.0042586670025043395	-2.9349922096481922e-06	-1.1315925091575242e-05	-6.627140365994572e-06	-3.499350743178534e-05	4.881592146805413e-06	0.003090892218824625	0.010844137848998665	0.002545585493967851	0.004743113757993683	0.0010490620073033473	-6.627140365994572e-06	0.003090892218824625	0.004265294142870334	0.0011677747836797143
