model,coord_role,layer,row,norm,q1,pr_spec
Qwen/Qwen2.5-0.5B,candidate,21,62,18.726591709016766,0.9981566830594915,1.0036966497884439
Qwen/Qwen2.5-0.5B,rank2_by_norm,21,570,1.278003761302626,0.8587451149816465,1.3558954948819752
Qwen/Qwen2.5-0.5B,rank3_by_norm,21,490,1.2681496071090423,0.5747869011552911,2.9954443775747244
Qwen/Qwen2.5-0.5B,rank4_by_norm,21,53,1.1820010930172127,0.8601691337950265,1.3514079846561704
Qwen/Qwen2.5-0.5B,rank5_by_norm,21,262,1.045326951723267,0.8204515777484511,1.4852495086571638
Qwen/Qwen2.5-0.5B,rank6_by_norm,21,450,0.8370065299982125,0.6866424027574004,2.1192801015290836
Qwen/Qwen2.5-1.5B,candidate,26,408,86.68857568622002,0.9950986414892139,1.0098722524248582
Qwen/Qwen2.5-1.5B,rank2_by_norm,26,520,70.68883061040133,0.9943789182856074,1.011335074781558
Qwen/Qwen2.5-1.5B,rank3_by_norm,26,940,63.21838232736704,0.9935065733001879,1.0131114405918349
Qwen/Qwen2.5-1.5B,rank4_by_norm,26,609,52.015601931617866,0.9899222729258228,1.0204599161871994
Qwen/Qwen2.5-1.5B,rank5_by_norm,26,286,17.769154780465534,0.9697231962536235,1.0634128826152303
Qwen/Qwen2.5-1.5B,rank6_by_norm,26,553,16.693009221515812,0.9536155929772536,1.0996164040037768
Qwen/Qwen2.5-3B,candidate,30,318,37.90514732887117,0.8173600221565074,1.439361742553289
Qwen/Qwen2.5-3B,rank2_by_norm,30,1874,19.279674024062675,0.6868422650445,2.040954513302446
Qwen/Qwen2.5-3B,rank3_by_norm,30,1819,15.736658444719222,0.6998497348267193,1.9723198749459028
Qwen/Qwen2.5-3B,rank4_by_norm,30,45,12.110260893143657,0.756933410263469,1.727113249544811
Qwen/Qwen2.5-3B,rank5_by_norm,30,71,9.391276080620889,0.7008715631631971,2.0315639930578357
Qwen/Qwen2.5-3B,rank6_by_norm,30,294,6.587946433980212,0.5513755093436837,3.1724113722665925
HuggingFaceTB/SmolLM2-135M,candidate,11,507,2002.9971970034146,0.9243918826992876,1.1692515617350696
HuggingFaceTB/SmolLM2-135M,rank2_by_norm,11,247,315.65190033873375,0.18141096179102179,26.154580293131495
HuggingFaceTB/SmolLM2-135M,rank3_by_norm,11,14,217.1699113403114,0.10373722132941549,59.767300347985206
HuggingFaceTB/SmolLM2-135M,rank4_by_norm,11,260,207.6596327002974,0.34556639823375057,6.730223686930694
HuggingFaceTB/SmolLM2-135M,rank5_by_norm,11,248,192.360953867308,0.06228028234260725,85.23287797151539
HuggingFaceTB/SmolLM2-135M,rank6_by_norm,11,521,188.0635751144332,0.04536039414480227,102.29041831665472
HuggingFaceTB/SmolLM2-360M,candidate,3,87,5692.495943193808,0.9742504779226074,1.05354664267982
HuggingFaceTB/SmolLM2-360M,rank2_by_norm,3,398,3085.672728802978,0.9898657526716033,1.0205755121103848
HuggingFaceTB/SmolLM2-360M,rank3_by_norm,3,615,500.0198698205339,0.549745878677237,3.2946171264155892
HuggingFaceTB/SmolLM2-360M,rank4_by_norm,3,40,385.14563517937364,0.33473656714021816,8.776435415986484
HuggingFaceTB/SmolLM2-360M,rank5_by_norm,3,212,345.775196025499,0.6280790247425218,2.528070450285944
HuggingFaceTB/SmolLM2-360M,rank6_by_norm,3,538,292.26715631609966,0.02737868668760251,232.2796646753694
HuggingFaceTB/SmolLM2-1.7B,candidate,7,227,3922.601989621102,0.9663919138439866,1.0707002949326616
HuggingFaceTB/SmolLM2-1.7B,rank2_by_norm,7,749,3020.670119015098,0.9220751802663207,1.1746385997048396
HuggingFaceTB/SmolLM2-1.7B,rank3_by_norm,7,161,684.2894352057895,0.7881140787906061,1.5822637928520598
