epsilon,rank_by_abs_gamma,pair,gamma,abs_gamma
0.5,1,"(9, 264)x(9, 294)",0.0771521403074684,0.0771521403074684
0.5,2,"(3, 603)x(3, 641)",0.0544200472152203,0.0544200472152203
0.5,3,"(3, 86)x(3, 399)",0.052352476660202416,0.052352476660202416
0.5,4,"(3, 399)x(3, 603)",0.03011148662188363,0.03011148662188363
0.5,5,"(3, 86)x(3, 603)",0.029418040378988358,0.029418040378988358
0.5,6,"(3, 86)x(3, 641)",0.02255344622386809,0.02255344622386809
0.5,7,"(5, 603)x(5, 86)",-0.019566274660975738,0.019566274660975738
0.5,8,"(3, 86)x(9, 294)",0.015164770110906405,0.015164770110906405
0.5,9,"(5, 603)x(9, 294)",0.015158497135189629,0.015158497135189629
0.5,10,"(3, 641)x(6, 603)",-0.01253762012501724,0.01253762012501724
0.5,11,"(9, 264)x(7, 603)",-0.012001667697437261,0.012001667697437261
0.5,12,"(5, 603)x(3, 603)",0.011696724656409052,0.011696724656409052
0.5,13,"(3, 399)x(3, 641)",0.011514106702314036,0.011514106702314036
0.5,14,"(5, 603)x(3, 399)",-0.01132161489629879,0.01132161489629879
0.5,15,"(3, 399)x(7, 603)",0.009412142145643558,0.009412142145643558
0.5,16,"(9, 264)x(3, 641)",0.008004128377805104,0.008004128377805104
0.5,17,"(9, 294)x(7, 603)",-0.007688882278176375,0.007688882278176375
0.5,18,"(9, 294)x(3, 641)",0.00731639493621158,0.00731639493621158
0.5,19,"(3, 603)x(5, 86)",0.007064137679469343,0.007064137679469343
0.5,20,"(9, 264)x(6, 603)",0.006255926805482104,0.006255926805482104
0.5,21,"(7, 603)x(5, 86)",-0.006255333189468622,0.006255333189468622
0.5,22,"(3, 86)x(9, 264)",0.006221551872791683,0.006221551872791683
0.5,23,"(5, 603)x(3, 86)",-0.005871958701056914,0.005871958701056914
0.5,24,"(3, 399)x(9, 294)",0.00533775912013025,0.00533775912013025
0.5,25,"(3, 399)x(6, 603)",-0.005326146913815792,0.005326146913815792
0.5,26,"(3, 641)x(5, 86)",-0.00528905908139447,0.00528905908139447
0.5,27,"(3, 603)x(7, 603)",-0.005221653673326369,0.005221653673326369
0.5,28,"(5, 603)x(9, 264)",0.004843475928432899,0.004843475928432899
0.5,29,"(3, 86)x(5, 86)",-0.004497229712153863,0.004497229712153863
0.5,30,"(5, 603)x(7, 603)",-0.0037242007434509323,0.0037242007434509323
0.5,31,"(3, 86)x(7, 603)",-0.003139698316238988,0.003139698316238988
0.5,32,"(3, 399)x(5, 86)",-0.003088183960129998,0.003088183960129998
0.5,33,"(9, 294)x(5, 86)",-0.0027644094570581446,0.0027644094570581446
0.5,34,"(5, 603)x(3, 641)",-0.0027064245121310154,0.0027064245121310154
0.5,35,"(9, 264)x(5, 86)",-0.002639773687171781,0.002639773687171781
0.5,36,"(9, 294)x(3, 603)",-0.0026018486222199357,0.0026018486222199357
0.5,37,"(5, 603)x(6, 603)",-0.00226117633245643,0.00226117633245643
0.5,38,"(9, 264)x(3, 603)",0.0022176795459569725,0.0022176795459569725
0.5,39,"(3, 86)x(6, 603)",-0.0018496387838979043,0.0018496387838979043
0.5,40,"(9, 294)x(6, 603)",0.001597736660530122,0.001597736660530122
0.5,41,"(3, 603)x(6, 603)",-0.0015456153373452838,0.0015456153373452838
0.5,42,"(3, 399)x(9, 264)",-0.0010494734138206455,0.0010494734138206455
0.5,43,"(7, 603)x(6, 603)",-0.0009520950023736924,0.0009520950023736924
