split,condition_id,rows_ablated,epsilon,mask_pool_id,n_masks
singletons,singletons_000,L5r603,0.5,k=1,10
singletons,singletons_000,L5r603,1.0,k=1,10
singletons,singletons_001,L3r86,0.5,k=1,10
singletons,singletons_001,L3r86,1.0,k=1,10
singletons,singletons_002,L3r399,0.5,k=1,10
singletons,singletons_002,L3r399,1.0,k=1,10
singletons,singletons_003,L9r264,0.5,k=1,10
singletons,singletons_003,L9r264,1.0,k=1,10
singletons,singletons_004,L9r294,0.5,k=1,10
singletons,singletons_004,L9r294,1.0,k=1,10
singletons,singletons_005,L3r603,0.5,k=1,10
singletons,singletons_005,L3r603,1.0,k=1,10
singletons,singletons_006,L3r641,0.5,k=1,10
singletons,singletons_006,L3r641,1.0,k=1,10
singletons,singletons_007,L7r603,0.5,k=1,10
singletons,singletons_007,L7r603,1.0,k=1,10
singletons,singletons_008,L6r603,0.5,k=1,10
singletons,singletons_008,L6r603,1.0,k=1,10
singletons,singletons_009,L5r86,0.5,k=1,10
singletons,singletons_009,L5r86,1.0,k=1,10
fit,fit_000,L3r603;L3r641;L5r86,0.5,rho_0.25,78
fit,fit_000,L3r603;L3r641;L5r86,1.0,rho_0.25,78
fit,fit_001,L9r294;L5r86,0.5,rho_0.25,78
fit,fit_001,L9r294;L5r86,1.0,rho_0.25,78
fit,fit_002,L5r603;L3r641;L6r603,0.5,rho_0.25,78
fit,fit_002,L5r603;L3r641;L6r603,1.0,rho_0.25,78
fit,fit_003,L3r399;L9r264;L5r86,0.5,rho_0.25,78
fit,fit_003,L3r399;L9r264;L5r86,1.0,rho_0.25,78
fit,fit_004,L3r86;L6r603;L5r86,0.5,rho_0.25,78
fit,fit_004,L3r86;L6r603;L5r86,1.0,rho_0.25,78
fit,fit_005,L3r399;L6r603;L5r86,0.5,rho_0.25,78
fit,fit_005,L3r399;L6r603;L5r86,1.0,rho_0.25,78
fit,fit_006,L5r603;L3r603;L3r641,0.5,rho_0.25,78
fit,fit_006,L5r603;L3r603;L3r641,1.0,rho_0.25,78
fit,fit_007,L9r264;L9r294;L5r86,0.5,rho_0.25,78
fit,fit_007,L9r264;L9r294;L5r86,1.0,rho_0.25,78
fit,fit_008,L9r294;L7r603;L6r603,0.5,rho_0.25,78
fit,fit_008,L9r294;L7r603;L6r603,1.0,rho_0.25,78
fit,fit_009,L9r294;L7r603,0.5,rho_0.25,78
fit,fit_009,L9r294;L7r603,1.0,rho_0.25,78
fit,fit_010,L5r603;L3r399;L3r603,0.5,rho_0.25,78
fit,fit_010,L5r603;L3r399;L3r603,1.0,rho_0.25,78
fit,fit_011,L5r603;L9r264;L3r603,0.5,rho_0.25,78
fit,fit_011,L5r603;L9r264;L3r603,1.0,rho_0.25,78
fit,fit_012,L3r399;L5r86,0.5,rho_0.25,78
fit,fit_012,L3r399;L5r86,1.0,rho_0.25,78
fit,fit_013,L3r86;L3r399,0.5,rho_0.25,78
fit,fit_013,L3r86;L3r399,1.0,rho_0.25,78
fit,fit_014,L3r399;L3r603,0.5,rho_0.25,78
fit,fit_014,L3r399;L3r603,1.0,rho_0.25,78
fit,fit_015,L3r399;L3r641;L5r86,0.5,rho_0.25,78
fit,fit_015,L3r399;L3r641;L5r86,1.0,rho_0.25,78
fit,fit_016,L5r603;L3r86;L9r264,0.5,rho_0.25,78
fit,fit_016,L5r603;L3r86;L9r264,1.0,rho_0.25,78
fit,fit_017,L3r641;L7r603;L6r603,0.5,rho_0.25,78
fit,fit_017,L3r641;L7r603;L6r603,1.0,rho_0.25,78
fit,fit_018,L3r641;L5r86,0.5,rho_0.25,78
fit,fit_018,L3r641;L5r86,1.0,rho_0.25,78
fit,fit_019,L3r399;L6r603,0.5,rho_0.25,78
fit,fit_019,L3r399;L6r603,1.0,rho_0.25,78
fit,fit_020,L5r603;L9r264;L3r641,0.5,rho_0.25,78
fit,fit_020,L5r603;L9r264;L3r641,1.0,rho_0.25,78
fit,fit_021,L9r264;L3r641;L7r603,0.5,rho_0.25,78
fit,fit_021,L9r264;L3r641;L7r603,1.0,rho_0.25,78
fit,fit_022,L5r603;L3r86;L7r603;L6r603;L5r86,0.5,rho_0.5,78
fit,fit_022,L5r603;L3r86;L7r603;L6r603;L5r86,1.0,rho_0.5,78
fit,fit_023,L3r86;L9r294;L3r603;L7r603;L6r603,0.5,rho_0.5,78
fit,fit_023,L3r86;L9r294;L3r603;L7r603;L6r603,1.0,rho_0.5,78
fit,fit_024,L5r603;L3r86;L9r294;L3r603;L7r603,0.5,rho_0.5,78
fit,fit_024,L5r603;L3r86;L9r294;L3r603;L7r603,1.0,rho_0.5,78
fit,fit_025,L3r86;L9r264;L9r294;L6r603;L5r86,0.5,rho_0.5,78
fit,fit_025,L3r86;L9r264;L9r294;L6r603;L5r86,1.0,rho_0.5,78
fit,fit_026,L5r603;L3r86;L3r399;L3r641;L6r603,0.5,rho_0.5,78
fit,fit_026,L5r603;L3r86;L3r399;L3r641;L6r603,1.0,rho_0.5,78
fit,fit_027,L5r603;L3r399;L9r264;L9r294;L7r603,0.5,rho_0.5,78
fit,fit_027,L5r603;L3r399;L9r264;L9r294;L7r603,1.0,rho_0.5,78
fit,fit_028,L5r603;L3r399;L9r264;L3r603;L5r86,0.5,rho_0.5,78
fit,fit_028,L5r603;L3r399;L9r264;L3r603;L5r86,1.0,rho_0.5,78
fit,fit_029,L9r264;L9r294;L3r603;L7r603;L5r86,0.5,rho_0.5,78
fit,fit_029,L9r264;L9r294;L3r603;L7r603;L5r86,1.0,rho_0.5,78
fit,fit_030,L3r399;L9r294;L3r641;L7r603;L6r603,0.5,rho_0.5,78
fit,fit_030,L3r399;L9r294;L3r641;L7r603;L6r603,1.0,rho_0.5,78
