model,display_name,architecture,domain,q1
EuroBERT-610M,EuroBERT-610M,encoder,text,0.9996238293034937
Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.9981566830594912
EuroBERT-2.1B,EuroBERT-2.1B,encoder,text,0.9977414719034632
Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.9950986414892103
Mistral-7B,Mistral-7B,decoder,text,0.9922047361077938
Llama-7B,Llama-7B,decoder,text,0.9888168037615727
EuroBERT-210M,EuroBERT-210M,encoder,text,0.9838491163147434
SmolLM2-360M,SmolLM2-360M,decoder,text,0.9742504779226046
ModernBERT-large,ModernBERT-large,encoder,text,0.9701337490592797
GENERator-EUK-3B,GEN-EUK-3B,decoder,genomic,0.9688691252375834
SmolLM2-1.7B,SmolLM2-1.7B,decoder,text,0.9663919138439745
OLMo-7B-0724-hf,OLMo-7B-0724-hf,decoder,text,0.964564665808712
Qwen2.5-7B,Qwen2.5-7B,decoder,text,0.9529104185966117
GENERator-PROK-3B,GENERator-PROK-3B,decoder,genomic,0.934973533990709
SmolLM2-135M,SmolLM2-135M,decoder,text,0.9243918826993042
Phi-3-mini-4k-instruct,Phi-3-mini,decoder,text,0.9028
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.8989077166811766
ModernBERT-base,ModernBERT-base,encoder,text,0.8969889514776379
GENERator-PROK-1.2B,GENERator-PROK-1.2B,decoder,genomic,0.8468514071586476
Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.8173600221565082
DNABERT-2,DNABERT-2,encoder,genomic,0.7933113982887636
MosaicBERT,MosaicBERT,encoder,text,0.4765682244123624
NTv3,NTv3,encoder,genomic,0.38889396751753286
