model,architecture,domain,non_embedding_params,candidate_q1,control_q1_values,mean_control_q1,candidate_control_gap
EuroBERT-610M,encoder,text,460123776,0.9996238293034937,0.026338343030813335;0.03443904995464864;0.03596640683197582;0.03204270327775329;0.03357504235286746,0.03247230908961171,0.967151520213882
Qwen2.5-0.5B,decoder,text,357898112,0.9981566830594912,0.020779069698598558;0.0273435113016163;0.019476790348757125;0.050076343357488506;0.030619029219367072,0.029658948785165513,0.9684977342743257
EuroBERT-2.1B,encoder,text,1812089088,0.9977414719034632,0.06482330544320554;0.04717126445225402;0.04060900770269803;0.051665524865586565;0.03838257115191648,0.048530334723132125,0.949211137180331
Qwen2.5-1.5B,decoder,text,1310340608,0.9950986414892103,0.028391040457566165;0.025918277213761737;0.009553010436888899;0.014422886491389692;0.012456636698437143,0.018148370259608727,0.9769502712296017
EuroBERT-210M,encoder,text,113265408,0.9838491163147434,0.15243100116033595;0.21858404524793604;0.10896112405169942;0.08847561324081633;0.10214418523593437,0.13411919378734444,0.8497299225273989
SmolLM2-360M,decoder,text,314635200,0.9742504779226046,0.012804239737699294;0.019292654937681272;0.015836807438479462;0.019525194729250166;0.01558441454799738,0.016608662278221515,0.957641815644383
ModernBERT-large,encoder,text,344253440,0.9701337490592797,0.6431978021476956;0.25477038316901224;0.7969730729418231;0.2248459598856094;0.21211274700972377,0.42637999303077284,0.5437537560285068
SmolLM2-1.7B,decoder,text,1610713088,0.9663919138439745,0.013305137530174614;0.013202826336233563;0.01320682267162399;0.013290469084506793;0.01263127266370162,0.013127305657248118,0.9532646081867264
GENERator-PROK-3B,decoder,genomic,2972900352,0.934973533990709,0.008751366448971109;0.008107479328136786;0.008265001776592472;0.0109473607400331;0.00904271623012913,0.00902278490477252,0.9259507490859366
SmolLM2-135M,decoder,text,106203456,0.9243918826993042,0.026756453978158307;0.04373514322701722;0.03942907953994088;0.034721224103136585;0.03898734449633432,0.03672584906891746,0.8876660336303868
GENERator-PROK-1.2B,decoder,genomic,1145153536,0.8468514071586476,0.013025004767561563;0.012471289763498563;0.012312329283789369;0.013623127933924652;0.012477562780692024,0.012781862905893235,0.8340695442527544
Qwen2.5-3B,decoder,text,2774773760,0.8173600221565082,0.011000696867174533;0.011501303842802015;0.011373294032780106;0.011733943760059167;0.09020817137855418,0.027163481976274002,0.7901965401802341
