model,display_name,architecture,domain,epsilon,candidate_relative_loss_change,median_topk_control_relative_loss_change,causal_topk_gap,sign_flip_flag,x_order_index
Llama-7B,Llama-7B,decoder,text,0.5,0.03855088724231734,-0.00011446044732521884,0.03866534768964256,0,0
Llama-7B,Llama-7B,decoder,text,1.0,3.007945593585156,-6.839751177491334e-05,3.008013991096931,0,0
Mistral-7B,Mistral-7B,decoder,text,0.5,3.013789457796915,-0.0007206388693757244,3.014510096666291,0,1
Mistral-7B,Mistral-7B,decoder,text,1.0,2.871492377308394,0.0002034310600066514,2.871288946248387,0,1
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.5,0.005991425378877851,0.005758582048861584,0.00023284333001626686,0,2
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,1.0,0.006480525715832325,0.006373721620868946,0.00010680409496337858,0,2
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.5,0.005163987341006483,0.0028255145755731377,0.002338472765433345,0,3
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,1.0,0.005556031100779856,0.008502666128516434,-0.002946635027736578,1,3
EuroBERT/EuroBERT-610m,EuroBERT-610M,encoder,text,0.5,4.384791300619445e-05,-2.040716678909834e-05,6.42550797952928e-05,0,4
EuroBERT/EuroBERT-610m,EuroBERT-610M,encoder,text,1.0,9.187152996575249e-05,-4.066930189236431e-05,0.0001325408318581168,0,4
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,decoder,text,0.5,0.022680901177107363,0.0024468959609919563,0.020234005216115406,0,5
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,decoder,text,1.0,0.5915447008237732,0.006444731559455412,0.5850999692643177,0,5
HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,decoder,text,0.5,0.03905575617362741,1.602231955898918e-05,0.03903973385406842,0,6
HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,decoder,text,1.0,6.988738472947954,6.076713214105126e-05,6.988677705815813,0,6
GENERator-EUK-3B,GEN-EUK-3B,decoder,genomic,0.5,0.04290482058827287,0.0001472788274597365,0.04275754176081314,0,7
GENERator-EUK-3B,GEN-EUK-3B,decoder,genomic,1.0,0.3709941910582313,0.0004622170690468023,0.37053197398918447,0,7
EuroBERT/EuroBERT-2.1B,EuroBERT-2.1B,encoder,text,0.5,0.00021691458056755973,-0.0002913656797838437,0.0005082802603514035,0,8
EuroBERT/EuroBERT-2.1B,EuroBERT-2.1B,encoder,text,1.0,0.0004381012956915371,-0.00042543746825680624,0.0008635387639483433,0,8
OLMo-7B-0724-hf,OLMo-7B,decoder,text,0.5,0.006288051768048048,0.0004391828921281766,0.0058488688759198715,0,9
OLMo-7B-0724-hf,OLMo-7B,decoder,text,1.0,1.1177580569022323,0.0013813760743563751,1.116376680827876,0,9
Qwen2.5-7B,Qwen2.5-7B,decoder,text,0.5,0.005999443397646881,0.004059784614348421,0.0019396587832984594,0,10
Qwen2.5-7B,Qwen2.5-7B,decoder,text,1.0,0.0073805601611145735,0.008742389535685343,-0.0013618293745707695,1,10
GenerTeam/GENERator-v2-prokaryote-3b-base,GEN-PROK-3B,decoder,genomic,0.5,0.00140949838720012,0.00021037347244999295,0.001199124914750127,0,11
GenerTeam/GENERator-v2-prokaryote-3b-base,GEN-PROK-3B,decoder,genomic,1.0,0.002501651718659897,0.0005310503198909757,0.0019706013987689213,0,11
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.5,0.03780837142953165,0.0016355582297667706,0.036172813199764876,0,12
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,1.0,3.1341752821146263,0.004176723237645929,3.1299985588769803,0,12
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.5,0.0042586670025043395,0.003090892218824625,0.0011677747836797143,0,13
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,1.0,0.007641126234624247,0.005340990379857566,0.002300135854766681,0,13
ModernBERT-base,ModernBERT-base,encoder,text,0.5,0.10926316989708436,0.0003168723033191138,0.10894629759376524,0,14
ModernBERT-base,ModernBERT-base,encoder,text,1.0,3.570440314807799,0.002478398338655532,3.5679619164691436,0,14
EuroBERT/EuroBERT-210m,EuroBERT-210M,encoder,text,0.5,0.001759996503115295,0.00123094865626647,0.0005290478468488252,0,15
EuroBERT/EuroBERT-210m,EuroBERT-210M,encoder,text,1.0,0.0026753987745807496,0.001894809587896423,0.0007805891866843266,0,15
GenerTeam/GENERator-v2-prokaryote-1.2b-base,GEN-PROK-1.2B,decoder,genomic,0.5,0.0018237718323049219,0.0003864731101406456,0.0014372987221642763,0,16
GenerTeam/GENERator-v2-prokaryote-1.2b-base,GEN-PROK-1.2B,decoder,genomic,1.0,0.006042811947788043,0.0008277056759667331,0.00521510627182131,0,16
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.5,0.02036779513602715,0.0021816625649246405,0.01818613257110251,0,17
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,1.0,0.03175519925651747,0.007056384845908851,0.02469881441060862,0,17
DNABERT-2,DNABERT-2,encoder,genomic,0.5,0.003106690560738079,2.2694156801096355e-05,0.0030839964039369827,0,18
DNABERT-2,DNABERT-2,encoder,genomic,1.0,0.008295371435906092,6.713888036845243e-05,0.008228232555537639,0,18
answerdotai/ModernBERT-large,ModernBERT-large,encoder,text,0.5,0.08090224393281813,0.0005615824681737487,0.08034066146464437,0,19
answerdotai/ModernBERT-large,ModernBERT-large,encoder,text,1.0,2.2066469967108513,0.0026229879484598946,2.2040240087623912,0,19
MosaicBERT,MosaicBERT,encoder,text,0.5,-0.0017349806458838244,0.00016426462365209097,-0.0018992452695359154,1,20
MosaicBERT,MosaicBERT,encoder,text,1.0,0.003742157414503058,0.0003703234784403475,0.0033718339360627107,0,20
NTv3,NTv3,encoder,genomic,0.5,-0.004981039705982557,2.7150934400726233e-06,-0.00498375479942263,1,21
NTv3,NTv3,encoder,genomic,1.0,-0.007949366731059835,1.370394225968748e-05,-0.007963070673319523,1,21
