model,display_model,architecture,domain,q1,frob_ratio_to_layer_median,full_ablation_relative_loss_change
Llama-7B,Llama-7B,decoder,text,0.9888168037615727,29.40138041715147,3.007945593585156
Mistral-7B,Mistral-7B,decoder,text,0.9922047361077938,26.83185497075223,2.871492377308394
OLMo-7B-0724-hf,OLMo-7B-0724-hf,decoder,text,0.964564665808712,39.201088887877,1.1177580569022323
Qwen2.5-7B,Qwen2.5-7B,decoder,text,0.9529104185966117,9.28343928087795,0.0073805601611145735
MosaicBERT,MosaicBERT,encoder,text,0.4765682244123624,5.049000470198418,0.003742157414503058
ModernBERT-base,ModernBERT-base,encoder,text,0.8969889514776379,23.548648733071218,3.570440314807799
NTv3,NTv3,encoder,genomic,0.38889396751753286,3.612997884175097,-0.007949366731059835
DNABERT-2,DNABERT-2,encoder,genomic,0.7933113982887636,5.018335080977002,0.008295371435906092
GENERator-EUK-3B,GENERator-EUK-3B,decoder,genomic,0.9688691252375834,12.244005701455277,0.3709941910582313
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,0.8989077166811766,19.50444951690311,0.007641126234624247
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.9981566830594912,30.623268771468037,0.005556031100779856
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.9950986414892103,22.28607583079485,0.006480525715832325
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.8173600221565082,8.318105315988955,0.03175519925651747
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.9243918826993042,12.47718017297001,3.1341752821146263
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,decoder,text,0.9742504779226046,22.37669908683808,0.5915447008237732
HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,decoder,text,0.9663919138439745,15.535443754242134,6.988738472947954
GenerTeam/GENERator-v2-prokaryote-1.2b-base,GENERATOR-prokaryote-1.2b-base,decoder,genomic,0.8468514071586476,3.222349081478031,0.006042811947788043
GenerTeam/GENERator-v2-prokaryote-3b-base,GENERATOR-prokaryote-3b-base,decoder,genomic,0.934973533990709,7.656615220640426,0.002501651718659897
EuroBERT/EuroBERT-210m,EuroBERT-210m,encoder,text,0.9838491163147434,14.949934194686236,0.0015891712537865418
EuroBERT/EuroBERT-610m,EuroBERT-610m,encoder,text,0.9996238293034937,57.21725262189751,0.009219914029773508
EuroBERT/EuroBERT-2.1B,EuroBERT-2.1B,encoder,text,0.9977414719034632,20.893724690144545,-0.00011898446726430181
answerdotai/ModernBERT-large,ModernBERT-large,encoder,text,0.9701337490592797,26.575958286152655,2.2066469967108513
