model,domain,architecture,total_params,layer,row,epsilon,baseline_loss,perturbed_loss,relative_loss_change,relative_ci95_low,relative_ci95_high
Llama-7B,text,decoder,6738417664,2,892,0.5,2.2452528551553326,2.2452480965631114,-2.1194014786478862e-06,-1.2854944606262336e-05,8.842886242069373e-06
Llama-7B,text,decoder,6738417664,2,892,1.0,2.2452528551553326,2.2452447856149096,-3.5940452784438422e-06,-2.4937839854164575e-05,1.7156429935644083e-05
Llama-7B,text,decoder,6738417664,2,2034,0.5,2.2452528551553326,2.2452324400302714,-9.092572809449384e-06,-2.4699243083053346e-05,5.119414674380719e-06
Llama-7B,text,decoder,6738417664,2,2034,1.0,2.2452528551553326,2.245217184824486,-1.588699943727528e-05,-4.60485731611358e-05,1.2845483711504082e-05
Llama-7B,text,decoder,6738417664,2,2379,0.5,2.2452528551553326,2.2452687983503545,7.100846118669469e-06,-1.6340792288493928e-06,1.562464222441511e-05
Llama-7B,text,decoder,6738417664,2,2379,1.0,2.2452528551553326,2.2452893090294763,1.6235977190741512e-05,-1.2861134728573968e-06,3.342865493396949e-05
Llama-7B,text,decoder,6738417664,2,3729,0.5,2.2452528551553326,2.2452881671584515,1.5727405952440314e-05,6.750439167952604e-06,2.56331387040352e-05
Llama-7B,text,decoder,6738417664,2,3729,1.0,2.2452528551553326,2.2453278029828154,3.338057328855587e-05,1.588331672413091e-05,5.265145464483562e-05
Llama-7B,text,decoder,6738417664,2,3751,0.5,2.2452528551553326,2.2452592620551,2.853531508888723e-06,-7.686337440412195e-06,1.275554160467313e-05
Llama-7B,text,decoder,6738417664,2,3751,1.0,2.2452528551553326,2.2452726157350784,8.801048710602857e-06,-1.1935205690198198e-05,2.801399853233932e-05
Mistral-7B,text,decoder,7241732096,1,190,0.5,2.207224828193799,2.2072286073568983,1.7121785923554652e-06,-8.722823825907365e-06,1.2694573072533245e-05
Mistral-7B,text,decoder,7241732096,1,190,1.0,2.207224828193799,2.207235912464836,5.021813317536439e-06,-1.5514165347034947e-05,2.6589999967537985e-05
Mistral-7B,text,decoder,7241732096,1,305,0.5,2.207224828193799,2.207191704378669,-1.5006996435873698e-05,-2.3525230706994713e-05,-6.1126039746845804e-06
Mistral-7B,text,decoder,7241732096,1,305,1.0,2.207224828193799,2.207160926415729,-2.8951186690941136e-05,-4.5956968252049175e-05,-1.1732239088263645e-05
Mistral-7B,text,decoder,7241732096,1,746,0.5,2.207224828193799,2.2073484034827544,5.598672476721859e-05,3.0445865816861292e-05,8.095551185837918e-05
Mistral-7B,text,decoder,7241732096,1,746,1.0,2.207224828193799,2.2074806789689334,0.00011591514007380235,6.368314861838573e-05,0.00016798620597840001
Mistral-7B,text,decoder,7241732096,1,1912,0.5,2.207224828193799,2.207234617707314,4.435213572215003e-06,-5.90152988608785e-06,1.4657311540470652e-05
Mistral-7B,text,decoder,7241732096,1,1912,1.0,2.207224828193799,2.2072464090784,9.777383946335692e-06,-1.0750899086427677e-05,3.0292066935807988e-05
Mistral-7B,text,decoder,7241732096,1,2687,0.5,2.207224828193799,2.2072165723229573,-3.740385091803032e-06,-1.405493398596596e-05,6.744521975584272e-06
Mistral-7B,text,decoder,7241732096,1,2687,1.0,2.207224828193799,2.2072115127354452,-6.0326697052417106e-06,-2.7110292383667292e-05,1.519643042159656e-05
OLMo-7B-0724-hf,text,decoder,6888095744,1,292,0.5,2.4953157010610325,2.4953059163252203,-3.921241632109546e-06,-1.4718366247612506e-05,6.50103941521724e-06
OLMo-7B-0724-hf,text,decoder,6888095744,1,292,1.0,2.4953157010610325,2.4952972495719177,-7.3944507730981204e-06,-2.8137677341697594e-05,1.2875418643898529e-05
OLMo-7B-0724-hf,text,decoder,6888095744,1,437,0.5,2.4953157010610325,2.495304903452177,-4.32715141049352e-06,-1.2162731891618181e-05,3.400635897717351e-06
OLMo-7B-0724-hf,text,decoder,6888095744,1,437,1.0,2.4953157010610325,2.4952957589285716,-7.99182742786676e-06,-2.3781653048729224e-05,7.440332010529423e-06
OLMo-7B-0724-hf,text,decoder,6888095744,1,2877,0.5,2.4953157010610325,2.4952786929733364,-1.4831024258933239e-05,-2.401762249662499e-05,-6.331969306163343e-06
OLMo-7B-0724-hf,text,decoder,6888095744,1,2877,1.0,2.4953157010610325,2.495243261527642,-2.9030207824853845e-05,-4.727779610832866e-05,-1.1897962858577486e-05
OLMo-7B-0724-hf,text,decoder,6888095744,1,2908,0.5,2.4953157010610325,2.4953277695388945,4.836453302007753e-06,-3.969738605371506e-06,1.3468599502123961e-05
OLMo-7B-0724-hf,text,decoder,6888095744,1,2908,1.0,2.4953157010610325,2.4953426664169522,1.0806390513337494e-05,-6.7223881911506485e-06,2.7652652909215305e-05
OLMo-7B-0724-hf,text,decoder,6888095744,1,3160,0.5,2.4953157010610325,2.495336226073263,8.225417017166392e-06,-8.65387621695331e-07,1.6701245181834062e-05
OLMo-7B-0724-hf,text,decoder,6888095744,1,3160,1.0,2.4953157010610325,2.4953593692667564,1.7500072518002808e-05,-4.3956466322052024e-07,3.468391498694026e-05
Qwen2.5-7B,text,decoder,7615616512,26,62,0.5,2.448377902932363,2.4483938795713063,6.525397457735785e-06,-8.072520189146908e-06,2.1673303726160474e-05
Qwen2.5-7B,text,decoder,7615616512,26,62,1.0,2.448377902932363,2.448429492569716,2.107094549881418e-05,-7.258133736673435e-06,5.1648556747955346e-05
Qwen2.5-7B,text,decoder,7615616512,26,1257,0.5,2.448377902932363,2.448356651709271,-8.679715278626576e-06,-2.6086720283530442e-05,8.006689810222223e-06
Qwen2.5-7B,text,decoder,7615616512,26,1257,1.0,2.448377902932363,2.4483502591426127,-1.1290654811525414e-05,-4.667610934765286e-05,2.055206840769061e-05
Qwen2.5-7B,text,decoder,7615616512,26,2926,0.5,2.448377902932363,2.448352342221135,-1.043985538239135e-05,-2.03743799547394e-05,-4.4208124160479767e-07
Qwen2.5-7B,text,decoder,7615616512,26,2926,1.0,2.448377902932363,2.448339729085127,-1.5591484954173465e-05,-3.575826222236569e-05,4.867742767146952e-06
Qwen2.5-7B,text,decoder,7615616512,26,3419,0.5,2.448377902932363,2.4483964977525683,7.59475086877558e-06,-1.2165928506826695e-05,2.688176960521199e-05
Qwen2.5-7B,text,decoder,7615616512,26,3419,1.0,2.448377902932363,2.4484341556078766,2.2975487340539603e-05,-1.7175408825572477e-05,6.0730902184122076e-05
Qwen2.5-7B,text,decoder,7615616512,26,3553,0.5,2.448377902932363,2.448370564380504,-2.9973117508913253e-06,-1.339055047359874e-05,6.955483237332774e-06
Qwen2.5-7B,text,decoder,7615616512,26,3553,1.0,2.448377902932363,2.448376765839041,-4.6442721132295654e-07,-2.0999216095539656e-05,2.0438303507691405e-05
MosaicBERT,text,encoder,137400384,9,56,0.5,2.7671481196541836,2.7671576925695156,3.4594878618880962e-06,-4.112477024646308e-05,4.7366603083433724e-05
MosaicBERT,text,encoder,137400384,9,56,1.0,2.7671481196541836,2.767262631743337,4.138271035797036e-05,-4.549768143634874e-05,0.00012749958092890044
MosaicBERT,text,encoder,137400384,9,173,0.5,2.7671481196541836,2.7669591890977383,-6.827627155315465e-05,-0.00010478910734239068,-3.2487798086001944e-05
MosaicBERT,text,encoder,137400384,9,173,1.0,2.7671481196541836,2.7668476802761406,-0.00010857365238568204,-0.00018520520165821478,-3.786050903101494e-05
MosaicBERT,text,encoder,137400384,9,193,0.5,2.7671481196541836,2.767014073812308,-4.8441874478500753e-05,-0.00010436723394795908,2.07768962964752e-06
MosaicBERT,text,encoder,137400384,9,193,1.0,2.7671481196541836,2.7669484649298437,-7.215180239967285e-05,-0.00018086166622494114,2.7284554543017505e-05
MosaicBERT,text,encoder,137400384,9,517,0.5,2.7671481196541836,2.767080345916357,-2.449226962061112e-05,-7.397201035944121e-05,3.082383813083456e-05
MosaicBERT,text,encoder,137400384,9,517,1.0,2.7671481196541836,2.767103708835213,-1.6049310355068717e-05,-0.00011455310812361157,8.936164865372946e-05
MosaicBERT,text,encoder,137400384,9,545,0.5,2.7671481196541836,2.7673886063036583,8.69077617373045e-05,3.301732309699997e-05,0.00013580436963784085
MosaicBERT,text,encoder,137400384,9,545,1.0,2.7671481196541836,2.767751626269381,0.0002180969681061668,0.0001122428495660469,0.00031873496429808375
ModernBERT-base,text,encoder,149655232,15,23,0.5,1.52405771854778,1.5240788415295843,1.3859699371800636e-05,-6.0566086607373985e-05,7.763695985865271e-05
ModernBERT-base,text,encoder,149655232,15,23,1.0,1.52405771854778,1.5241565573343798,6.485239069165062e-05,-8.498992933535125e-05,0.00019553891761564515
ModernBERT-base,text,encoder,149655232,15,325,0.5,1.52405771854778,1.5240180316184009,-2.604030601732931e-05,-0.00011756889248018615,5.64919893775961e-05
ModernBERT-base,text,encoder,149655232,15,325,1.0,1.52405771854778,1.5240473572747149,-6.79847812782164e-06,-0.0001929358597473059,0.00016067986336157618
ModernBERT-base,text,encoder,149655232,15,421,0.5,1.52405771854778,1.524097618208611,2.61798882978562e-05,-4.817634087325825e-05,9.926352741227014e-05
ModernBERT-base,text,encoder,149655232,15,421,1.0,1.52405771854778,1.5241895932774858,8.652869776581809e-05,-5.5533371785754294e-05,0.0002294544855004529
ModernBERT-base,text,encoder,149655232,15,487,0.5,1.52405771854778,1.5241123905308975,3.587264606335805e-05,-3.6563077067008756e-05,0.00011773108469631126
ModernBERT-base,text,encoder,149655232,15,487,1.0,1.52405771854778,1.5242303188368946,0.00011325049374059404,-3.210002071936607e-05,0.0002802652547982394
ModernBERT-base,text,encoder,149655232,15,687,0.5,1.52405771854778,1.52400905935658,-3.19273939613398e-05,-8.900989032144344e-05,1.9824538260105946e-05
ModernBERT-base,text,encoder,149655232,15,687,1.0,1.52405771854778,1.5239997429703518,-3.804027677074566e-05,-0.0001483515024739227,6.989306154478361e-05
NTv3,genomic,encoder,651829819,11,2,0.5,1.1444061123196168,1.1443885182806108,-1.5373947077456274e-05,-4.762081628003235e-05,1.438588796777156e-05
NTv3,genomic,encoder,651829819,11,2,1.0,1.1444061123196168,1.144375642576833,-2.6624938870692245e-05,-8.748615839662317e-05,3.515370418080889e-05
NTv3,genomic,encoder,651829819,11,142,0.5,1.1444061123196168,1.1444132456914964,6.233252167075502e-06,-4.201581456702478e-05,5.797735755856086e-05
NTv3,genomic,encoder,651829819,11,142,1.0,1.1444061123196168,1.1444189900776731,1.1252786854012865e-05,-8.347627132034035e-05,0.00010931460466536413
NTv3,genomic,encoder,651829819,11,527,0.5,1.1444061123196168,1.1444111943477264,4.440755825193901e-06,-2.2031045046236943e-05,3.2591925702610933e-05
NTv3,genomic,encoder,651829819,11,527,1.0,1.1444061123196168,1.1444152629440265,7.995959049197915e-06,-4.271096181487826e-05,6.093139128160991e-05
NTv3,genomic,encoder,651829819,11,924,0.5,1.1444061123196168,1.14437858645568,-2.4052531387696408e-05,-4.909923523630102e-05,2.6412859560870033e-06
NTv3,genomic,encoder,651829819,11,924,1.0,1.1444061123196168,1.1443448614519014,-5.352196834321887e-05,-0.00010361104230953868,-3.747826285013317e-06
NTv3,genomic,encoder,651829819,11,1152,0.5,1.1444061123196168,1.1444051332969716,-8.554853339529772e-07,-4.491687256137024e-05,4.6602038990304345e-05
NTv3,genomic,encoder,651829819,11,1152,1.0,1.1444061123196168,1.144404163310706,-1.703074537723427e-06,-8.835859093381362e-05,8.570152231451594e-05
DNABERT-2,genomic,encoder,117074176,5,72,0.5,4.695280693847892,4.695240823012,-8.49168313720839e-06,-4.7312134123409025e-05,2.828171777848884e-05
DNABERT-2,genomic,encoder,117074176,5,72,1.0,4.695280693847892,4.6952328162061585,-1.0196971140957575e-05,-8.405687562972446e-05,6.292917383932532e-05
DNABERT-2,genomic,encoder,117074176,5,216,0.5,4.695280693847892,4.69528704130754,1.3518807631645606e-06,-3.4717754761639736e-05,4.214067579822777e-05
DNABERT-2,genomic,encoder,117074176,5,216,1.0,4.695280693847892,4.695330413036231,1.0589183390887352e-05,-5.7405918389875355e-05,9.648610201745859e-05
DNABERT-2,genomic,encoder,117074176,5,513,0.5,4.695280693847892,4.695530824973935,5.3272880228548335e-05,9.584388227072584e-06,9.649790973582445e-05
DNABERT-2,genomic,encoder,117074176,5,513,1.0,4.695280693847892,4.695818683899255,0.00011458102005853469,2.918123715808266e-05,0.00020429668998905775
DNABERT-2,genomic,encoder,117074176,5,542,0.5,4.695280693847892,4.695255790751569,-5.303856776098012e-06,-7.300971273350906e-05,6.388789904139236e-05
DNABERT-2,genomic,encoder,117074176,5,542,1.0,4.695280693847892,4.6953070600622295,5.615471375695601e-06,-0.00012631097047530353,0.00013585931665522965
DNABERT-2,genomic,encoder,117074176,5,757,0.5,4.695280693847892,4.695344907793602,1.367627409227114e-05,-1.9643826826531353e-05,4.719917536295565e-05
DNABERT-2,genomic,encoder,117074176,5,757,1.0,4.695280693847892,4.695439465737144,3.381520714192586e-05,-3.3911956501929495e-05,0.00010301658654300257
GENERator-EUK-3B,genomic,decoder,2998262784,4,435,0.5,6.38538052380085,6.385449003577232,1.0724462876826533e-05,-4.685247010829603e-06,2.7578937803414734e-05
GENERator-EUK-3B,genomic,decoder,2998262784,4,435,1.0,6.38538052380085,6.385547558069229,2.6158858936598123e-05,-8.164079097743902e-06,6.174165844421834e-05
GENERator-EUK-3B,genomic,decoder,2998262784,4,915,0.5,6.38538052380085,6.385498526096344,1.8480072574255856e-05,-9.342212981637407e-06,6.347345983642114e-05
GENERator-EUK-3B,genomic,decoder,2998262784,4,915,1.0,6.38538052380085,6.385502209067345,1.9056854331654044e-05,-2.002034645468717e-05,7.221707948474015e-05
GENERator-EUK-3B,genomic,decoder,2998262784,4,1058,0.5,6.38538052380085,6.385426566004753,7.2105654050200855e-06,-4.885842975501663e-06,2.0845034993469884e-05
GENERator-EUK-3B,genomic,decoder,2998262784,4,1058,1.0,6.38538052380085,6.3854701942205425,1.404308159207964e-05,-9.792332779838801e-06,4.0811500879801244e-05
GENERator-EUK-3B,genomic,decoder,2998262784,4,1490,0.5,6.38538052380085,6.385337245464325,-6.777722386921341e-06,-1.8536520261531827e-05,3.1982074804036423e-06
GENERator-EUK-3B,genomic,decoder,2998262784,4,1490,1.0,6.38538052380085,6.3853129863739015,-1.0576883663709892e-05,-3.256280625245064e-05,9.74316015439117e-06
GENERator-EUK-3B,genomic,decoder,2998262784,4,2073,0.5,6.38538052380085,6.385409819483757,4.587930632780277e-06,-1.0724355690122695e-05,2.2026939927215753e-05
GENERator-EUK-3B,genomic,decoder,2998262784,4,2073,1.0,6.38538052380085,6.385517553687095,2.1459940521057942e-05,-1.6975651571072422e-05,6.986421747501957e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,569,0.5,5.258974985957734,5.25895955090712,-2.9349922096481922e-06,-2.67665106344186e-05,1.8384635544924944e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,569,1.0,5.258974985957734,5.258952000557222,-4.3706997226805605e-06,-5.3442158458048164e-05,3.811621978334977e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,739,0.5,5.258974985957734,5.258915475790735,-1.1315925091575242e-05,-2.630317555998589e-05,3.2563072689201376e-06
GenomeOcean-4B,genomic,decoder,4253174784,1,739,1.0,5.258974985957734,5.2588667876981665,-2.0574020575640092e-05,-4.971227993511102e-05,8.639011127733664e-06
GenomeOcean-4B,genomic,decoder,4253174784,1,1012,0.5,5.258974985957734,5.258940133992321,-6.627140365994572e-06,-4.033116524568558e-05,1.7187950424146753e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,1012,1.0,5.258974985957734,5.2589063250006625,-1.30559581011994e-05,-8.278841863353651e-05,3.5824163873403096e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,1471,0.5,5.258974985957734,5.25879095597748,-3.499350743178534e-05,-5.647690078948945e-05,-1.549872711236065e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,1471,1.0,5.258974985957734,5.258615925557207,-6.82757384255363e-05,-0.00011014951038251868,-2.956782512206603e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,2581,0.5,5.258974985957734,5.259000658128726,4.881592146805413e-06,-2.0584993007629688e-05,3.2523594793544916e-05
GenomeOcean-4B,genomic,decoder,4253174784,1,2581,1.0,5.258974985957734,5.259035550858691,1.1516483938095415e-05,-4.156460216931732e-05,6.650578958089027e-05
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,35,0.5,3.1279006390655577,3.1287234646373534,0.00026306000948978604,7.74779565743127e-05,0.0004535689952291017
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,35,1.0,3.1279006390655577,3.1309635767031554,0.0009792311173006825,0.0005875843423676285,0.0013612231809198693
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,488,0.5,3.1279006390655577,3.1280453365796235,4.6260265514376735e-05,1.7688335090761e-05,7.619830338060713e-05
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,488,1.0,3.1279006390655577,3.1282988319471623,0.00012730355837759104,6.957987838573977e-05,0.00018813664216213766
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,620,0.5,3.1279006390655577,3.1278866786172945,-4.463200681257728e-06,-2.1930051686346868e-05,1.4390462283520647e-05
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,620,1.0,3.1279006390655577,3.127909716701321,2.9021496558116972e-06,-3.320188394661656e-05,3.963186383883739e-05
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,714,0.5,3.1279006390655577,3.1278941222786205,-2.0834379634069494e-06,-3.2580814252859626e-05,2.8357558043988653e-05
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,714,1.0,3.1279006390655577,3.1279876601486056,2.7820923069320827e-05,-3.581840680412093e-05,9.005328869667458e-05
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,763,0.5,3.1279006390655577,3.1280474005473335,4.692012269919189e-05,6.076847586980395e-06,8.756368278477825e-05
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,763,1.0,3.1279006390655577,3.128273347679183,0.00011915615508058293,4.0469373784449886e-05,0.0001999626657806481
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,443,0.5,2.7555732479207435,2.755623394691781,1.8198308128905015e-05,-4.3446071391393514e-07,3.698315243167123e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,443,1.0,2.7555732479207435,2.755706555390778,4.837740028680047e-05,1.1095402165091608e-05,8.808521126681397e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,571,0.5,2.7555732479207435,2.75552676087023,-1.6870192272531205e-05,-3.758645001942928e-05,4.057635034410266e-06
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,571,1.0,2.7555732479207435,2.7555229291523973,-1.8260726106351147e-05,-5.878832769595278e-05,2.115338102875056e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,930,0.5,2.7555732479207435,2.755575512551981,8.218367047060414e-07,-1.9630466663526913e-05,1.9014422816205866e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,930,1.0,2.7555732479207435,2.7556208625091734,1.7279376792383317e-05,-2.151284357603322e-05,5.2859338401561435e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,1118,0.5,2.7555732479207435,2.7556005190496577,9.896717111325504e-06,-3.4802526612854976e-06,2.281021424007968e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,1118,1.0,2.7555732479207435,2.7556512964774953,2.832389115790904e-05,2.754455942114082e-06,5.4525381997883314e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,1343,0.5,2.7555732479207435,2.7556444356959395,2.583410738571613e-05,-1.0805649059625508e-06,5.435751711062538e-05
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,1343,1.0,2.7555732479207435,2.7557605147688355,6.795930691855483e-05,1.6126380202382176e-05,0.00012322600610363213
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,94,0.5,2.611140428158635,2.611174655623165,1.3108243494329004e-05,4.5624318914057183e-07,2.503031125141219e-05
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,94,1.0,2.611140428158635,2.6112244870658023,3.21924115075715e-05,8.018931733435294e-06,5.6577947174367114e-05
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,128,0.5,2.611140428158635,2.6110756329500977,-2.481490763137478e-05,-4.132179255139821e-05,-8.0784158778646e-06
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,128,1.0,2.611140428158635,2.61103139142001,-4.175828210896342e-05,-7.534993199604658e-05,-6.659201600830738e-06
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,147,0.5,2.611140428158635,2.6111862845523484,1.7561825943497115e-05,4.49247520645037e-06,3.0964586909132666e-05
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,147,1.0,2.611140428158635,2.6112503726608365,4.210593234122148e-05,1.6189654035488417e-05,7.010698842401261e-05
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,668,0.5,2.611140428158635,2.6111227124357876,-6.7846687433275386e-06,-2.283171126288554e-05,9.20870776044576e-06
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,668,1.0,2.611140428158635,2.6111240024156066,-6.290639465908206e-06,-3.8139610521027636e-05,2.5061594670536188e-05
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,1146,0.5,2.611140428158635,2.61118249105614,1.6109013920305393e-05,3.257223609921656e-06,2.93703882649199e-05
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,1146,1.0,2.611140428158635,2.6112398617141634,3.8080508599286175e-05,1.3489836820547563e-05,6.428717304380585e-05
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,294,0.5,3.3001462359344425,3.3000418240123532,-3.1638574361431237e-05,-6.777087791193806e-05,6.705088518282998e-06
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,294,1.0,3.3001462359344425,3.3000206778987278,-3.804620363410262e-05,-0.00010987122623221697,3.929369656420259e-05
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,320,0.5,3.3001462359344425,3.2999921645670254,-4.6686224307102264e-05,-6.786174471590156e-05,-2.5825591387086706e-05
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,320,1.0,3.3001462359344425,3.299898598030822,-7.50384637274596e-05,-0.00011799656666176643,-3.226079747637527e-05
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,402,0.5,3.3001462359344425,3.30029010212818,4.3593884468241926e-05,1.4009089397045286e-05,7.279185621661756e-05
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,402,1.0,3.3001462359344425,3.300536946933097,0.0001183920259048394,5.98619581475391e-05,0.00017548198488995218
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,441,0.5,3.3001462359344425,3.300168480919765,6.740605940561505e-06,-2.1624219689252658e-05,3.451559951347959e-05
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,441,1.0,3.3001462359344425,3.3002795720706946,4.040309935367159e-05,-1.8303722151469185e-05,9.81373673348332e-05
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,448,0.5,3.3001462359344425,3.300191614557852,1.3750488664856847e-05,-5.736139326616152e-06,3.507591698885658e-05
