model,display_model,repo,requested_revision,resolved_revision,architecture,domain,family,total_params,non_embed_params,candidate_layer,candidate_row,candidate_source,q1,pr_spec,frob_norm,layer_median_frob_norm,frob_ratio_to_layer_median,control_rows,baseline_loss,endpoint_json,raw_artifact,candidate_perturbed_loss_eps0p5,candidate_absolute_delta_loss_eps0p5,candidate_relative_loss_change_eps0p5,candidate_relative_ci95_low_eps0p5,candidate_relative_ci95_high_eps0p5,median_control_absolute_delta_loss_eps0p5,median_control_relative_loss_change_eps0p5,candidate_minus_median_control_absolute_eps0p5,candidate_minus_median_control_relative_eps0p5,control1_layer,control1_row,control1_perturbed_loss_eps0p5,control1_absolute_delta_loss_eps0p5,control1_relative_loss_change_eps0p5,control1_relative_ci95_low_eps0p5,control1_relative_ci95_high_eps0p5,control2_layer,control2_row,control2_perturbed_loss_eps0p5,control2_absolute_delta_loss_eps0p5,control2_relative_loss_change_eps0p5,control2_relative_ci95_low_eps0p5,control2_relative_ci95_high_eps0p5,control3_layer,control3_row,control3_perturbed_loss_eps0p5,control3_absolute_delta_loss_eps0p5,control3_relative_loss_change_eps0p5,control3_relative_ci95_low_eps0p5,control3_relative_ci95_high_eps0p5,control4_layer,control4_row,control4_perturbed_loss_eps0p5,control4_absolute_delta_loss_eps0p5,control4_relative_loss_change_eps0p5,control4_relative_ci95_low_eps0p5,control4_relative_ci95_high_eps0p5,control5_layer,control5_row,control5_perturbed_loss_eps0p5,control5_absolute_delta_loss_eps0p5,control5_relative_loss_change_eps0p5,control5_relative_ci95_low_eps0p5,control5_relative_ci95_high_eps0p5,candidate_perturbed_loss_eps1p0,candidate_absolute_delta_loss_eps1p0,candidate_relative_loss_change_eps1p0,candidate_relative_ci95_low_eps1p0,candidate_relative_ci95_high_eps1p0,median_control_absolute_delta_loss_eps1p0,median_control_relative_loss_change_eps1p0,candidate_minus_median_control_absolute_eps1p0,candidate_minus_median_control_relative_eps1p0,control1_perturbed_loss_eps1p0,control1_absolute_delta_loss_eps1p0,control1_relative_loss_change_eps1p0,control1_relative_ci95_low_eps1p0,control1_relative_ci95_high_eps1p0,control2_perturbed_loss_eps1p0,control2_absolute_delta_loss_eps1p0,control2_relative_loss_change_eps1p0,control2_relative_ci95_low_eps1p0,control2_relative_ci95_high_eps1p0,control3_perturbed_loss_eps1p0,control3_absolute_delta_loss_eps1p0,control3_relative_loss_change_eps1p0,control3_relative_ci95_low_eps1p0,control3_relative_ci95_high_eps1p0,control4_perturbed_loss_eps1p0,control4_absolute_delta_loss_eps1p0,control4_relative_loss_change_eps1p0,control4_relative_ci95_low_eps1p0,control4_relative_ci95_high_eps1p0,control5_perturbed_loss_eps1p0,control5_absolute_delta_loss_eps1p0,control5_relative_loss_change_eps1p0,control5_relative_ci95_low_eps1p0,control5_relative_ci95_high_eps1p0
Llama-7B,Llama-7B,huggyllama/llama-7b,unpinned (E5/E6 original),4782ad278652c7c71b72204d462d6d01eaaf7549,decoder,text,Llama,6738417664,6476273664,2,3968,results/e7_legacy_reanalysis.json,0.9888168037615727,1.022653174688543,137.61641832032996,4.205097956825915,29.40138041715147,892;2034;2379;3729;3751,2.2452528551553326,"{""batch_size"": 4, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/llama.json,2.331809344804917,0.08655648964958429,0.03855088724231734,0.0364189868726007,0.04092389919047479,6.40689976760811e-06,2.853531508888723e-06,0.08655008274981668,0.03854803371080845,2,892,2.2452480965631114,-4.7585922211546006e-06,-2.1194014786478862e-06,-1.2854944606262336e-05,8.842886242069373e-06,2,2034,2.2452324400302714,-2.0415125061123973e-05,-9.092572809449384e-06,-2.4699243083053346e-05,5.119414674380719e-06,2,2379,2.2452687983503545,1.5943195021961287e-05,7.100846118669469e-06,-1.6340792288493928e-06,1.562464222441511e-05,2,3729,2.2452881671584515,3.531200311890359e-05,1.5727405952440314e-05,6.750439167952604e-06,2.56331387040352e-05,2,3751,2.2452592620551,6.40689976760811e-06,2.853531508888723e-06,-7.686337440412195e-06,1.275554160467313e-05,8.998851287304305,6.753598432148973,3.007945593585156,2.9369114630775157,3.0840393943509667,1.976057974584222e-05,8.801048710602857e-06,6.753578671569227,3.0079367925364453,2.2452447856149096,-8.069540422983579e-06,-3.5940452784438422e-06,-2.4937839854164575e-05,1.7156429935644083e-05,2.245217184824486,-3.567033084639348e-05,-1.588699943727528e-05,-4.60485731611358e-05,1.2845483711504082e-05,2.2452893090294763,3.645387414374923e-05,1.6235977190741512e-05,-1.2861134728573968e-06,3.342865493396949e-05,2.2453278029828154,7.494782748285189e-05,3.338057328855587e-05,1.588331672413091e-05,5.265145464483562e-05,2.2452726157350784,1.976057974584222e-05,8.801048710602857e-06,-1.1935205690198198e-05,2.801399853233932e-05
Mistral-7B,Mistral-7B,mistralai/Mistral-7B-v0.1,unpinned (E5/E6 original),27d67f1b5f57dc0953326b2601d68371d40ea8da,decoder,text,Mistral,7241732096,6979588096,1,2070,results/e7_legacy_reanalysis.json,0.9922047361077938,1.0157714240616442,0.38834723364706875,0.01397999823680717,26.83185497075223,190;305;746;1912;2687,2.207224828193799,"{""batch_size"": 4, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/mistral.json,8.859335746391878,6.652110918198079,3.013789457796915,2.932549787641434,3.0959455951425787,3.7791630993488923e-06,1.7121785923554652e-06,6.65210713903498,3.013787745618323,1,190,2.2072286073568983,3.7791630993488923e-06,1.7121785923554652e-06,-8.722823825907365e-06,1.2694573072533245e-05,1,305,2.207191704378669,-3.312381512987628e-05,-1.5006996435873698e-05,-2.3525230706994713e-05,-6.1126039746845804e-06,1,746,2.2073484034827544,0.00012357528895545755,5.598672476721859e-05,3.0445865816861292e-05,8.095551185837918e-05,1,1912,2.207234617707314,9.789513514935066e-06,4.435213572215003e-06,-5.90152988608785e-06,1.4657311540470652e-05,1,2687,2.2072165723229573,-8.255870841633595e-06,-3.740385091803032e-06,-1.405493398596596e-05,6.744521975584272e-06,8.545254097358121,6.3380292691643225,2.871492377308394,2.798798262184707,2.9513578256428548,1.1084271037020699e-05,5.021813317536439e-06,6.3380181848932855,2.871487355495076,2.207235912464836,1.1084271037020699e-05,5.021813317536439e-06,-1.5514165347034947e-05,2.6589999967537985e-05,2.207160926415729,-6.390177806991915e-05,-2.8951186690941136e-05,-4.5956968252049175e-05,-1.1732239088263645e-05,2.2074806789689334,0.00025585077513445853,0.00011591514007380235,6.368314861838573e-05,0.00016798620597840001,2.2072464090784,2.1580884601135608e-05,9.777383946335692e-06,-1.0750899086427677e-05,3.0292066935807988e-05,2.2072115127354452,-1.331545835370207e-05,-6.0326697052417106e-06,-2.7110292383667292e-05,1.519643042159656e-05
OLMo-7B-0724-hf,OLMo-7B-0724-hf,allenai/OLMo-7B-0724-hf,unpinned (E5/E6 original),1ee306df318ee15bfe4a76ebd5c002b0105b1ab6,decoder,text,OLMo-v1,6888095744,6476005376,1,269,results/e7_legacy_reanalysis.json,0.964564665808712,1.07470169944751,0.9110752807676615,0.023241070761400518,39.201088887877,292;437;2877;2908;3160,2.4953157010610325,"{""batch_size"": 4, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/olmo.json,2.5110063753669274,0.01569067430589488,0.006288051768048048,0.005398174873445165,0.007198394986122934,-9.78473581225714e-06,-3.921241632109546e-06,0.015700459041707138,0.006291973009680158,1,292,2.4953059163252203,-9.78473581225714e-06,-3.921241632109546e-06,-1.4718366247612506e-05,6.50103941521724e-06,1,437,2.495304903452177,-1.0797608855472873e-05,-4.32715141049352e-06,-1.2162731891618181e-05,3.400635897717351e-06,1,2877,2.4952786929733364,-3.7008087696133174e-05,-1.4831024258933239e-05,-2.401762249662499e-05,-6.331969306163343e-06,1,2908,2.4953277695388945,1.2068477861948423e-05,4.836453302007753e-06,-3.969738605371506e-06,1.3468599502123961e-05,1,3160,2.495336226073263,2.0525012230709905e-05,8.225417017166392e-06,-8.65387621695331e-07,1.6701245181834062e-05,5.284474930436644,2.789159229375611,1.1177580569022323,1.06115035576345,1.1763996986833076,-1.845148911483463e-05,-7.3944507730981204e-06,2.789177680864726,1.1177654513530053,2.4952972495719177,-1.845148911483463e-05,-7.3944507730981204e-06,-2.8137677341697594e-05,1.2875418643898529e-05,2.4952957589285716,-1.9942132460926132e-05,-7.99182742786676e-06,-2.3781653048729224e-05,7.440332010529423e-06,2.495243261527642,-7.243953339042264e-05,-2.9030207824853845e-05,-4.727779610832866e-05,-1.1897962858577486e-05,2.4953426664169522,2.696535591972804e-05,1.0806390513337494e-05,-6.7223881911506485e-06,2.7652652909215305e-05,2.4953593692667564,4.366820572387908e-05,1.7500072518002808e-05,-4.3956466322052024e-07,3.468391498694026e-05
Qwen2.5-7B,Qwen2.5-7B,Qwen/Qwen2.5-7B,d149729398750b98c0af14eb82c78cfe92750796,d149729398750b98c0af14eb82c78cfe92750796,decoder,text,Qwen2.5,7615616512,6525621760,26,458,results/e7_phase1_detection_qwen25.json,0.9529104185966117,1.0995461100252455,29.68742128221388,2.6271665824882557,9.28343928087795,62;1257;2926;3419;3553,2.448377902932363,"{""batch_size"": 4, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/qwen25-7b.json,2.463066807577055,0.01468890464469208,0.005999443397646881,0.0055606032246603215,0.00642426382397685,-7.338551859081832e-06,-2.9973117508913253e-06,0.014696243196551162,0.006002440709397772,26,62,2.4483938795713063,1.5976638943371313e-05,6.525397457735785e-06,-8.072520189146908e-06,2.1673303726160474e-05,26,1257,2.448356651709271,-2.1251223091933724e-05,-8.679715278626576e-06,-2.6086720283530442e-05,8.006689810222223e-06,26,2926,2.448352342221135,-2.5560711228056476e-05,-1.043985538239135e-05,-2.03743799547394e-05,-4.4208124160479767e-07,26,3419,2.4483964977525683,1.8594820205386497e-05,7.59475086877558e-06,-1.2165928506826695e-05,2.688176960521199e-05,26,3553,2.448370564380504,-7.338551859081832e-06,-2.9973117508913253e-06,-1.339055047359874e-05,6.955483237332774e-06,2.4664483033420987,0.018070400409735843,0.0073805601611145735,0.006781054632485803,0.007968708552834472,-1.1370933217236256e-06,-4.6442721132295654e-07,0.018071537503057566,0.007381024588325897,2.448429492569716,5.158963735318878e-05,2.107094549881418e-05,-7.258133736673435e-06,5.1648556747955346e-05,2.4483502591426127,-2.7643789750175785e-05,-1.1290654811525414e-05,-4.667610934765286e-05,2.055206840769061e-05,2.448339729085127,-3.817384723570072e-05,-1.5591484954173465e-05,-3.575826222236569e-05,4.867742767146952e-06,2.4484341556078766,5.6252675513679407e-05,2.2975487340539603e-05,-1.7175408825572477e-05,6.0730902184122076e-05,2.448376765839041,-1.1370933217236256e-06,-4.6442721132295654e-07,-2.0999216095539656e-05,2.0438303507691405e-05
MosaicBERT,MosaicBERT,mosaicml/mosaic-bert-base,c89bbadc24278928f22bcdd7de6b61a5a2d08553,c89bbadc24278928f22bcdd7de6b61a5a2d08553,encoder,text,MosaicBERT,137400384,113951808,9,287,results/e8_detection_mosaicbert.json,0.4765682244123624,4.115864702588391,19.997746047192482,3.960733647229508,5.049000470198418,56;173;193;517;545,2.7671481196541836,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 512, ""n_windows"": 256}",results/E13/raw/mosaicbert.json,2.76234717122229,-0.004800948431893826,-0.0017349806458838244,-0.002241310395933119,-0.0012571431678653708,-6.777373782673735e-05,-2.449226962061112e-05,-0.004733174694067088,-0.0017104883762632133,9,56,2.7671576925695156,9.572915331990117e-06,3.4594878618880962e-06,-4.112477024646308e-05,4.7366603083433724e-05,9,173,2.7669591890977383,-0.00018893055644531032,-6.827627155315465e-05,-0.00010478910734239068,-3.2487798086001944e-05,9,193,2.767014073812308,-0.00013404584187570734,-4.8441874478500753e-05,-0.00010436723394795908,2.07768962964752e-06,9,517,2.767080345916357,-6.777373782673735e-05,-2.449226962061112e-05,-7.397201035944121e-05,3.082383813083456e-05,9,545,2.7673886063036583,0.00024048664947473597,8.69077617373045e-05,3.301732309699997e-05,0.00013580436963784085,2.7775032235071757,0.010355103852992098,0.003742157414503058,0.0028434660638321195,0.004636148279299672,-4.441081897077481e-05,-1.6049310355068717e-05,0.010399514671962873,0.0037582067248581267,2.767262631743337,0.0001145120891532514,4.138271035797036e-05,-4.549768143634874e-05,0.00012749958092890044,2.7668476802761406,-0.000300439378043027,-0.00010857365238568204,-0.00018520520165821478,-3.786050903101494e-05,2.7669484649298437,-0.00019965472433991494,-7.215180239967285e-05,-0.00018086166622494114,2.7284554543017505e-05,2.767103708835213,-4.441081897077481e-05,-1.6049310355068717e-05,-0.00011455310812361157,8.936164865372946e-05,2.767751626269381,0.0006035066151972579,0.0002180969681061668,0.0001122428495660469,0.00031873496429808375
ModernBERT-base,ModernBERT-base,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,8949b909ec900327062f0ebf497f51aef5e6f0c8,encoder,text,ModernBERT,149655232,110972608,15,251,results/e8_detection_modernbert.json,0.8969889514776379,1.2336584717613133,836.046538392924,35.502951692459455,23.548648733071218,23;325;421;487;687,1.52405771854778,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 512, ""n_windows"": 256}",results/E13/raw/modernbert-base.json,1.6905810959824288,0.16652337743464884,0.10926316989708436,0.10111933395258395,0.11711730402113898,2.1122981804344576e-05,1.3859699371800636e-05,0.1665022544528445,0.10924931019771256,15,23,1.5240788415295843,2.1122981804344576e-05,1.3859699371800636e-05,-6.0566086607373985e-05,7.763695985865271e-05,15,325,1.5240180316184009,-3.9686929379056934e-05,-2.604030601732931e-05,-0.00011756889248018615,5.64919893775961e-05,15,421,1.524097618208611,3.989966083106644e-05,2.61798882978562e-05,-4.817634087325825e-05,9.926352741227014e-05,15,487,1.5241123905308975,5.467198311759347e-05,3.587264606335805e-05,-3.6563077067008756e-05,0.00011773108469631126,15,687,1.52400905935658,-4.86591911998957e-05,-3.19273939613398e-05,-8.900989032144344e-05,1.9824538260105946e-05,6.965614838944772,5.4415571203969915,3.570440314807799,3.4777132643830533,3.6702696047326904,9.883878659988632e-05,6.485239069165062e-05,5.441458281610392,3.570375462417107,1.5241565573343798,9.883878659988632e-05,6.485239069165062e-05,-8.498992933535125e-05,0.00019553891761564515,1.5240473572747149,-1.036127306508483e-05,-6.79847812782164e-06,-0.0001929358597473059,0.00016067986336157618,1.5241895932774858,0.0001318747297058831,8.652869776581809e-05,-5.5533371785754294e-05,0.0002294544855004529,1.5242303188368946,0.00017260028911469938,0.00011325049374059404,-3.210002071936607e-05,0.0002802652547982394,1.5239997429703518,-5.797557742814874e-05,-3.804027677074566e-05,-0.0001483515024739227,6.989306154478361e-05
NTv3,NTv3,InstaDeepAI/NTv3_650M_pre,unpinned (E5/E6 original),unpinned (E5/E6 original),encoder,genomic,NTv3,651829819,651829819,11,1472,results/e7_legacy_reanalysis.json,0.38889396751753286,6.4803244910178845,441.5173190114778,108.79981978838849,3.612997884175097,2;142;527;924;1152,1.1444061123196168,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 256, ""n_windows"": 256, ""win_bp"": 600}",results/E13/raw/ntv3.json,1.1387057800343836,-0.005700332285233145,-0.004981039705982557,-0.006946986320810988,-0.0028872463830030147,-9.790226451755757e-07,-8.554853339529772e-07,-0.0056993532625879695,-0.004980184220648604,11,2,1.1443885182806108,-1.759403900591927e-05,-1.5373947077456274e-05,-4.762081628003235e-05,1.438588796777156e-05,11,142,1.1444132456914964,7.133371879630701e-06,6.233252167075502e-06,-4.201581456702478e-05,5.797735755856086e-05,11,527,1.1444111943477264,5.082028109670844e-06,4.440755825193901e-06,-2.2031045046236943e-05,3.2591925702610933e-05,11,924,1.14437858645568,-2.75258639368392e-05,-2.4052531387696408e-05,-4.909923523630102e-05,2.6412859560870033e-06,11,1152,1.1444051332969716,-9.790226451755757e-07,-8.554853339529772e-07,-4.491687256137024e-05,4.6602038990304345e-05,1.1353088084435217,-0.009097303876095086,-0.007949366731059835,-0.011857754572508752,-0.004142335000732689,-1.9490089107065955e-06,-1.703074537723427e-06,-0.00909535486718438,-0.007947663656522112,1.144375642576833,-3.046974278375636e-05,-2.6624938870692245e-05,-8.748615839662317e-05,3.515370418080889e-05,1.1444189900776731,1.2877758056362154e-05,1.1252786854012865e-05,-8.347627132034035e-05,0.00010931460466536413,1.1444152629440265,9.150624409759445e-06,7.995959049197915e-06,-4.271096181487826e-05,6.093139128160991e-05,1.1443448614519014,-6.12508677153567e-05,-5.352196834321887e-05,-0.00010361104230953868,-3.747826285013317e-06,1.144404163310706,-1.9490089107065955e-06,-1.703074537723427e-06,-8.835859093381362e-05,8.570152231451594e-05
DNABERT-2,DNABERT-2,zhihan1996/DNABERT-2-117M,7bce263b15377fc15361f52cfab88f8b586abda0,7bce263b15377fc15361f52cfab88f8b586abda0,encoder,genomic,DNABERT-2,117074176,113925376,5,603,results/e7_legacy_reanalysis.json,0.7933113982887636,1.503287698117315,74.00855774610585,10.350278730754415,5.018335080977002,72;216;513;542;757,4.695280693847892,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 256, ""n_windows"": 256, ""win_bp"": 600}",results/E13/raw/dnabert2.json,4.709867478059485,0.014586784211592985,0.003106690560738079,0.0014604033589265127,0.005065319299870445,6.347459647670917e-06,1.3518807631645606e-06,0.014580436751945314,0.0031053386799749145,5,72,4.695240823012,-3.987083589240825e-05,-8.49168313720839e-06,-4.7312134123409025e-05,2.828171777848884e-05,5,216,4.69528704130754,6.347459647670917e-06,1.3518807631645606e-06,-3.4717754761639736e-05,4.214067579822777e-05,5,513,4.695530824973935,0.0002501311260427741,5.3272880228548335e-05,9.584388227072584e-06,9.649790973582445e-05,5,542,4.695255790751569,-2.490309632374732e-05,-5.303856776098012e-06,-7.300971273350906e-05,6.388789904139236e-05,5,757,4.695344907793602,6.42139457092128e-05,1.367627409227114e-05,-1.9643826826531353e-05,4.719917536295565e-05,4.7342297911991995,0.03894909735130714,0.008295371435906092,0.00567776581894784,0.011484139295402299,4.971918833884814e-05,1.0589183390887352e-05,0.03889937816296829,0.008284782252515204,4.6952328162061585,-4.787764173386222e-05,-1.0196971140957575e-05,-8.405687562972446e-05,6.292917383932532e-05,4.695330413036231,4.971918833884814e-05,1.0589183390887352e-05,-5.7405918389875355e-05,9.648610201745859e-05,4.695818683899255,0.000537990051362236,0.00011458102005853469,2.918123715808266e-05,0.00020429668998905775,4.6953070600622295,2.6366214337159022e-05,5.615471375695601e-06,-0.00012631097047530353,0.00013585931665522965,4.695439465737144,0.00015877188925195185,3.381520714192586e-05,-3.3911956501929495e-05,0.00010301658654300257
GENERator-EUK-3B,GENERator-EUK-3B,GenerTeam/GENERator-v2-eukaryote-3b-base,7dc01bccce5b65e15141170538afdc2ff09d8dde,7dc01bccce5b65e15141170538afdc2ff09d8dde,decoder,genomic,GENERator-EUK,2998262784,2972900352,4,2371,results/e7_legacy_reanalysis.json,0.9688691252375834,1.0652593586761891,522.1322102348346,17.62986778564838,12.244005701455277,435;915;1058;1490;2073,6.38538052380085,"{""corpus_meta"": {""base_seed"": 42, ""n_damage"": 100, ""n_prompt"": 96, ""n_regions_total"": 50000, ""partition_seed_used"": 42, ""repartition_tries"": 0}, ""n_windows"": 100, ""win_bp"": 512}",results/E13/raw/generator-euk-3b.json,6.659344129562378,0.27396360576152734,0.04290482058827287,0.033733681417347845,0.05404664984043458,4.6042203902807444e-05,7.2105654050200855e-06,0.27391756355762453,0.04289761002286785,4,435,6.385449003577232,6.847977638191338e-05,1.0724462876826533e-05,-4.685247010829603e-06,2.7578937803414734e-05,4,915,6.385498526096344,0.00011800229549407959,1.8480072574255856e-05,-9.342212981637407e-06,6.347345983642114e-05,4,1058,6.385426566004753,4.6042203902807444e-05,7.2105654050200855e-06,-4.885842975501663e-06,2.0845034993469884e-05,4,1490,6.385337245464325,-4.327833652517654e-05,-6.777722386921341e-06,-1.8536520261531827e-05,3.1982074804036423e-06,4,2073,6.385409819483757,2.9295682907104492e-05,4.587930632780277e-06,-1.0724355690122695e-05,2.2026939927215753e-05,8.754319605827332,2.3689390820264817,0.3709941910582313,0.33584090104894765,0.4125371824476298,0.0001216852664942536,1.9056854331654044e-05,2.3688173967599875,0.3709751342038996,6.385547558069229,0.00016703426837860746,2.6158858936598123e-05,-8.164079097743902e-06,6.174165844421834e-05,6.385502209067345,0.0001216852664942536,1.9056854331654044e-05,-2.002034645468717e-05,7.221707948474015e-05,6.3854701942205425,8.967041969221157e-05,1.404308159207964e-05,-9.792332779838801e-06,4.0811500879801244e-05,6.3853129863739015,-6.753742694876053e-05,-1.0576883663709892e-05,-3.256280625245064e-05,9.74316015439117e-06,6.385517553687095,0.00013702988624508805,2.1459940521057942e-05,-1.6975651571072422e-05,6.986421747501957e-05
GenomeOcean-4B,GenomeOcean-4B,DOEJGI/GenomeOcean-4B,2bed2fc3ed47c5f6955ba3e64563512c9b338dfb,2bed2fc3ed47c5f6955ba3e64563512c9b338dfb,decoder,genomic,GenomeOcean,4253174784,4228008960,1,2604,results/e7_phase1_detection_genomeocean.json,0.8989077166811766,1.2243008136348879,2.8832156466529963,0.10813996640762157,19.50444951690311,569;739;1012;1471;2581,5.258974985957734,"{""corpus_meta"": {""base_seed"": 42, ""n_damage"": 100, ""n_prompt"": 96, ""n_regions_total"": 50000, ""partition_seed_used"": 42, ""repartition_tries"": 0}, ""n_windows"": 100, ""win_bp"": 512}",results/E13/raw/genomeocean-4b.json,5.281371209197428,0.022396223239693924,0.0042586670025043395,0.00312960827816901,0.005554653910832048,-3.485196541319624e-05,-6.627140365994572e-06,0.02243107520510712,0.004265294142870334,1,569,5.25895955090712,-1.5435050614520662e-05,-2.9349922096481922e-06,-2.67665106344186e-05,1.8384635544924944e-05,1,739,5.258915475790735,-5.9510166999565683e-05,-1.1315925091575242e-05,-2.630317555998589e-05,3.2563072689201376e-06,1,1012,5.258940133992321,-3.485196541319624e-05,-6.627140365994572e-06,-4.033116524568558e-05,1.7187950424146753e-05,1,1471,5.25879095597748,-0.0001840299802546852,-3.499350743178534e-05,-5.647690078948945e-05,-1.549872711236065e-05,1,2581,5.259000658128726,2.5672170991697385e-05,4.881592146805413e-06,-2.0584993007629688e-05,3.2523594793544916e-05,5.299159477690169,0.040184491732434324,0.007641126234624247,0.005742304574306677,0.009938488573542193,-6.866095707191988e-05,-1.30559581011994e-05,0.040253152689506244,0.0076541821927254465,5.258952000557222,-2.2985400512709475e-05,-4.3706997226805605e-06,-5.3442158458048164e-05,3.811621978334977e-05,5.2588667876981665,-0.00010819825956787099,-2.0574020575640092e-05,-4.971227993511102e-05,8.639011127733664e-06,5.2589063250006625,-6.866095707191988e-05,-1.30559581011994e-05,-8.278841863353651e-05,3.5824163873403096e-05,5.258615925557207,-0.00035906040052768873,-6.82757384255363e-05,-0.00011014951038251868,-2.956782512206603e-05,5.259035550858691,6.056490095662781e-05,1.1516483938095415e-05,-4.156460216931732e-05,6.650578958089027e-05
