model,layer,row,epsilon,new_baseline_loss,new_perturbed_loss,new_relative_loss_change,old_baseline_loss,old_perturbed_loss,old_relative_loss_change,new_to_old_effect_ratio,judgment
llama,2,3968,0.5,2.2452529793756115,2.331809363915729,0.03855083829537466,2.2452529793756115,2.331809363915729,0.038550838295374666,0.9999999999999998,REPRODUCES
llama,2,3968,1.0,2.2452529793756115,8.998851287304305,3.0079453718426064,2.2452529793756115,8.998851287304305,3.007945371842607,0.9999999999999999,REPRODUCES
mistral,1,2070,0.5,2.2072248807485324,8.859335861056751,3.013789414177091,2.2072248807485324,8.859335861056751,3.013789414177091,1.0,REPRODUCES
mistral,1,2070,1.0,2.2072248807485324,8.545255358671723,2.8714928565746254,2.2072248807485324,8.545255358671723,2.8714928565746254,1.0,REPRODUCES
olmo,1,269,0.5,2.4953157010610325,2.5110063753669274,0.006288051768048048,,,,,NO_MATCHED_OLD_EPSILON_REFERENCE
olmo,1,269,1.0,2.4953157010610325,5.284474930436644,1.1177580569022323,2.4953157010610325,5.284474930436644,1.1177580569022323,1.0,REPRODUCES
phi3,2,525,0.5,2.3849035477311644,2.4243260094330967,0.016530002540117886,2.3849035477311644,2.4243260094330967,0.016530002540117886,1.0,REPRODUCES
phi3,2,525,1.0,2.3849035477311644,2.495146771037182,0.04622544312573802,2.3849035477311644,2.495146771037182,0.04622544312573802,1.0,REPRODUCES
modernbert-base,15,251,0.5,1.52405771854778,1.6905810959824288,0.10926316989708436,1.524057781115854,1.6905811022392363,0.10926312846318767,1.000000379212066,REPRODUCES
modernbert-base,15,251,1.0,1.52405771854778,6.965614838944772,3.570440314807799,1.524057781115854,6.965614688781394,3.57044002864606,1.000000080147471,REPRODUCES
dnabert2,5,603,0.5,4.695280693847892,4.709867478059485,0.003106690560738079,4.695280839372639,4.709867531332893,0.0031066708167775915,1.0000063553435983,REPRODUCES
dnabert2,5,603,1.0,4.695280693847892,4.7342297911991995,0.008295371435906092,4.695280839372639,4.734229822306587,0.008295346810213843,1.0000029686151541,REPRODUCES
