model	slug	domain	architecture	layer	row	n_inputs	ratio_min	ratio_median	ratio_max	frac_rank1	frac_max_at_pos0	gt3	gt5	gt10
DNABERT-2	dnabert2	genomic	encoder	5	603	24	155.7887049806258	155.7887049806258	155.7887049806258	1.0	1.0	24	24	24
EuroBERT/EuroBERT-2.1B	eurobert-2.1b	text	encoder	14	2198	24	556.6259158991339	578.9191046078433	660.3167511655754	1.0	0.0	24	24	24
EuroBERT/EuroBERT-210m	eurobert-210m	text	encoder	3	300	24	102.73926060578184	105.20179667467588	108.22240266385467	1.0	0.0	24	24	24
EuroBERT/EuroBERT-610m	eurobert-610m	text	encoder	13	762	24	1568.6148685540818	1587.5499191127205	1630.4325737529296	1.0	0.0	24	24	24
GENERator-EUK-3B	generator-euk-3b	genomic	decoder	4	2371	24	7124.084927150937	7124.084927150937	7124.084927150937	1.0	1.0	24	24	24
GenerTeam/GENERator-v2-prokaryote-1.2b-base	generator-prok-1.2b	genomic	decoder	4	798	24	239.50514928746685	239.50514928746685	239.50514928746685	1.0	1.0	24	24	24
GenerTeam/GENERator-v2-prokaryote-3b-base	generator-prok-3b	genomic	decoder	8	260	24	257.26798961027333	257.26798961027333	257.26798961027333	1.0	1.0	24	24	24
GenomeOcean-4B	genomeocean-4b	genomic	decoder	1	2604	24	1068.3823827947324	1086.920813697369	1114.4621914629265	1.0	1.0	24	24	24
Llama-7B	llama	text	decoder	2	3968	24	3970.787604788006	4014.2263260623854	4059.1563668858676	1.0	1.0	24	24	24
Mistral-7B	mistral	text	decoder	1	2070	24	1663.5700049224295	1733.4413060746206	1863.7132979885437	1.0	0.0	24	24	24
ModernBERT-base	modernbert-base	text	encoder	15	251	24	621.3712273898512	714.279611898176	795.3459600906073	1.0	0.0	24	24	24
answerdotai/ModernBERT-large	modernbert-large	text	encoder	19	379	24	581.4222948876279	786.799274316106	1043.266640856514	1.0	0.0	24	24	24
MosaicBERT	mosaicbert	text	encoder	9	287	24	10.421505545183182	10.421505545183182	10.421505545183182	1.0	0.0	24	24	24
NTv3	ntv3	genomic	encoder	11	1472	24	35.894311493041464	101.41482115811172	241.65722335824913	1.0	0.041666666666666664	24	24	24
OLMo-7B-0724-hf	olmo	text	decoder	1	269	24	2151.5558593154046	2334.8053789343376	2461.550549799872	1.0	1.0	24	24	24
Qwen/Qwen2.5-0.5B	qwen25-0.5b	text	decoder	21	62	24	494.04802316238755	523.1341540218882	585.6694743513701	1.0	1.0	24	24	24
Qwen/Qwen2.5-1.5B	qwen25-1.5b	text	decoder	26	408	24	577.3247787946336	611.05108770521	657.5182023722538	1.0	1.0	24	24	24
Qwen/Qwen2.5-3B	qwen25-3b	text	decoder	30	318	24	420.7231933670349	445.676543425653	472.4277169816375	1.0	0.6666666666666666	24	24	24
Qwen2.5-7B	qwen25-7b	text	decoder	26	458	24	586.6479917122273	636.1217418831033	666.3346057372983	1.0	0.875	24	24	24
HuggingFaceTB/SmolLM2-1.7B	smollm2-1.7b	text	decoder	7	227	24	4175.122056636467	4439.338244560368	4761.285337692388	1.0	0.875	24	24	24
HuggingFaceTB/SmolLM2-135M	smollm2-135m	text	decoder	11	507	24	1462.4152175874533	1539.0766105039197	1585.0673967288774	1.0	1.0	24	24	24
HuggingFaceTB/SmolLM2-360M	smollm2-360m	text	decoder	3	87	24	1714.991838616212	1814.3246717492466	1861.3336263293481	1.0	1.0	24	24	24
