family	scale	cos_to_row	nll	delta_nll	frac_of_ablation_damage	gc	delta_gc
random_unit	0.500000	-0.007660	8.465668	2.236696	0.975985	0.359375	-0.099826
random_unit	1.000000	-0.007660	8.387578	2.158607	0.941911	0.354167	-0.105035
random_unit	2.000000	-0.007660	8.205877	1.976905	0.862625	0.423900	-0.035301
random_same_layer	0.500000	-0.005449	8.528674	2.299702	1.003478	0.349248	-0.109954
random_same_layer	1.000000	-0.005449	8.535614	2.306642	1.006506	0.355035	-0.104167
random_same_layer	2.000000	-0.005449	8.547541	2.318569	1.011710	0.348090	-0.111111
top_frobenius	0.500000	-0.505773	8.574828	2.345856	1.023617	0.360822	-0.098380
top_frobenius	1.000000	-0.505773	8.309354	2.080382	0.907777	0.370081	-0.089120
top_frobenius	2.000000	-0.505773	7.370310	1.141338	0.498024	0.399884	-0.059317
permuted	0.500000	-0.026721	8.503203	2.274232	0.992364	0.351852	-0.107350
permuted	1.000000	-0.026721	8.494560	2.265588	0.988592	0.357928	-0.101273
permuted	2.000000	-0.026721	8.436229	2.207257	0.963139	0.365162	-0.094039
sign_flipped	0.500000	-0.032662	8.461050	2.232078	0.973970	0.344618	-0.114583
sign_flipped	1.000000	-0.032662	7.710165	1.481193	0.646320	0.378472	-0.080729
sign_flipped	2.000000	-0.032662	6.576894	0.347922	0.151816	0.429977	-0.029225
orthogonalised	0.500000	0.000000	8.479184	2.250213	0.981883	0.354456	-0.104745
orthogonalised	1.000000	0.000000	8.418592	2.189620	0.955443	0.367766	-0.091435
orthogonalised	2.000000	0.000000	8.276736	2.047764	0.893544	0.390914	-0.068287
