row	rank	activation_ratio	nll	delta_nll	rel_delta	is_frozen_candidate
2371	1	7124.089844	8.520704	2.291732	0.367915	True
1522	2	2730.743652	6.895477	0.666505	0.107001	False
101	3	531.278076	6.228327	-0.000645	-0.000104	False
1932	4	498.345673	6.244379	0.015407	0.002473	False
166	5	377.651489	6.236526	0.007555	0.001213	False
2105	6	191.186523	6.229839	0.000867	0.000139	False
410	8	180.393280	6.232416	0.003444	0.000553	False
457	10	119.634308	6.230428	0.001456	0.000234	False
2736	12	37.171642	6.229440	0.000468	0.000075	False
2599	15	28.867159	6.229899	0.000927	0.000149	False
2453	18	19.856344	6.228675	-0.000297	-0.000048	False
1496	22	14.360160	6.229081	0.000109	0.000018	False
2111	27	9.793956	6.228940	-0.000031	-0.000005	False
6	33	7.363296	6.229144	0.000172	0.000028	False
1123	41	5.857432	6.228992	0.000020	0.000003	False
1582	50	4.956380	6.229690	0.000718	0.000115	False
2343	61	4.474549	6.228946	-0.000026	-0.000004	False
2090	75	4.029318	6.229116	0.000144	0.000023	False
2951	93	3.660984	6.228750	-0.000222	-0.000036	False
3023	114	3.500205	6.229034	0.000062	0.000010	False
1937	140	3.329254	6.229042	0.000071	0.000011	False
284	172	3.096563	6.228964	-0.000008	-0.000001	False
2592	211	2.923701	6.229340	0.000368	0.000059	False
2166	260	2.712697	6.228915	-0.000057	-0.000009	False
544	319	2.560529	6.229058	0.000086	0.000014	False
2878	392	2.383137	6.229006	0.000034	0.000005	False
916	482	2.195023	6.228934	-0.000038	-0.000006	False
1478	592	2.000093	6.229001	0.000029	0.000005	False
2689	727	1.802779	6.228664	-0.000308	-0.000049	False
338	893	1.587076	6.229351	0.000379	0.000061	False
383	1097	1.386502	6.229215	0.000244	0.000039	False
3014	1348	1.148441	6.228781	-0.000191	-0.000031	False
1168	1656	0.913158	6.229216	0.000244	0.000039	False
2883	2035	0.636825	6.229009	0.000038	0.000006	False
2123	2500	0.363257	6.228978	0.000006	0.000001	False
1643	3072	0.025108	6.229041	0.000069	0.000011	False
