model,repo,revision,family,domain,architecture,total_params,non_embed_params,d_model,d_ffn,n_layers,layer,row,relative_depth,q1,pr_spec,frob_norm,detection_ratio,layer_median_frob_norm,candidate_frob_norm_ratio_to_layer_median,gated_evidence,dtype,source,source_type
Llama-7B,huggyllama/llama-7b,unpinned (E5/E6 original),Llama,text,decoder,6738417664,6476273664,4096,11008,32,2,3968,0.0625,0.9888168037615727,1.022653174688543,137.61641832032996,,,,gate_proj/up_proj/down_proj (LlamaMLP SwiGLU),float32,results/experiments/E7/e7_legacy_reanalysis.json,cited
Mistral-7B,mistralai/Mistral-7B-v0.1,unpinned (E5/E6 original),Mistral,text,decoder,7241732096,6979588096,4096,14336,32,1,2070,0.03125,0.9922047361077938,1.0157714240616442,0.38834723364706875,,,,gate_proj/up_proj/down_proj (MistralMLP SwiGLU),float32,results/experiments/E7/e7_legacy_reanalysis.json,cited
OLMo-7B-0724-hf,allenai/OLMo-7B-0724-hf,unpinned (E5/E6 original),OLMo-v1,text,decoder,6888095744,6476005376,4096,11008,32,1,269,0.03125,0.964564665808712,1.07470169944751,0.9110752807676615,,,,gate_proj/up_proj/down_proj (OlmoMLP SwiGLU),float32,results/experiments/E7/e7_legacy_reanalysis.json,cited
Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,Phi-3,text,decoder,3821079552,3624078336,3072,8192,32,"2 & 4 (6 published rows, median)","525/1693/1113 (L2), 525/1113/1693 (L4)",,0.9028,1.2249,nan,,,,"packed gate_up_proj, chunked (Phi3MLP SwiGLU)",float32,experiments/E7_exact_dimensionality/RESULTS.md,cited
Qwen2.5-7B,Qwen/Qwen2.5-7B,d149729398750b98c0af14eb82c78cfe92750796,Qwen2.5,text,decoder,7615616512,6525621760,3584,18944,28,26,458,0.9285714285714286,0.9529104185966117,1.0995461100252455,29.68742128221388,,,,gate_proj/up_proj/down_proj (Qwen2MLP SwiGLU),float32,results/experiments/E7/e7_phase1_detection_qwen25.json,cited
MosaicBERT,mosaicml/mosaic-bert-base,c89bbadc24278928f22bcdd7de6b61a5a2d08553,MosaicBERT,text,encoder,137400384,113951808,768,3072,12,9,287,0.75,0.4765682244123624,4.115864702588391,19.997746047192482,,,,"packed gated_layers, chunked (GeGLU-style)",float32,results/e8_detection_mosaicbert.json,cited
ModernBERT-base,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,ModernBERT,text,encoder,149655232,110972608,768,1152,22,15,251,0.6818181818181818,0.8969889514776379,1.2336584717613133,836.046538392924,,,,"packed Wi, chunked input/gate -> Wo (GeGLU)",float32,results/e8_detection_modernbert.json,cited
NTv3,InstaDeepAI/NTv3_650M_pre,unpinned (E5/E6 original),NTv3,genomic,encoder,651829819,651829819,1536,6144,12,11,1472,0.9166666666666666,0.38889396751753286,6.4803244910178845,441.5173190114778,,,,"packed fc1 [12288,1536] (2x fc2's 6144 d_ffn), chunked",float32,results/experiments/E7/e7_legacy_reanalysis.json,cited
DNABERT-2,zhihan1996/DNABERT-2-117M,7bce263b15377fc15361f52cfab88f8b586abda0,DNABERT-2,genomic,encoder,117074176,113925376,768,3072,12,5,603,0.4166666666666667,0.7933113982887636,1.503287698117315,74.00855774610585,,,,packed Wqkvff-style gated MLP (bert_layers.py GLU),float32,results/experiments/E7/e7_legacy_reanalysis.json,cited
GENERator-EUK-3B,GenerTeam/GENERator-v2-eukaryote-3b-base,7dc01bccce5b65e15141170538afdc2ff09d8dde,GENERator-EUK,genomic,decoder,2998262784,2972900352,3072,8448,30,4,2371,0.13333333333333333,0.9688691252375834,1.0652593586761891,522.1322102348346,,,,gate_proj/up_proj/down_proj (Llama-superset SwiGLU),float32,results/experiments/E7/e7_legacy_reanalysis.json,cited
