model,display_model,architecture,domain,epsilon,kind,control_index,layer,row,baseline_loss,perturbed_loss,absolute_delta_loss,relative_loss_change
Llama-7B,Llama-7B,decoder,text,0.5,control,1,2,892,2.2452528551553326,2.2452480965631114,-4.7585922211546006e-06,-2.1194014786478862e-06
Llama-7B,Llama-7B,decoder,text,0.5,control,2,2,2034,2.2452528551553326,2.2452324400302714,-2.0415125061123973e-05,-9.092572809449384e-06
Llama-7B,Llama-7B,decoder,text,0.5,control,3,2,2379,2.2452528551553326,2.2452687983503545,1.5943195021961287e-05,7.100846118669469e-06
Llama-7B,Llama-7B,decoder,text,0.5,control,4,2,3729,2.2452528551553326,2.2452881671584515,3.531200311890359e-05,1.5727405952440314e-05
Llama-7B,Llama-7B,decoder,text,0.5,control,5,2,3751,2.2452528551553326,2.2452592620551,6.40689976760811e-06,2.853531508888723e-06
Llama-7B,Llama-7B,decoder,text,0.5,candidate,,2,3968,2.2452528551553326,2.331809344804917,0.08655648964958429,0.03855088724231734
Llama-7B,Llama-7B,decoder,text,1.0,control,1,2,892,2.2452528551553326,2.2452447856149096,-8.069540422983579e-06,-3.5940452784438422e-06
Llama-7B,Llama-7B,decoder,text,1.0,control,2,2,2034,2.2452528551553326,2.245217184824486,-3.567033084639348e-05,-1.588699943727528e-05
Llama-7B,Llama-7B,decoder,text,1.0,control,3,2,2379,2.2452528551553326,2.2452893090294763,3.645387414374923e-05,1.6235977190741512e-05
Llama-7B,Llama-7B,decoder,text,1.0,control,4,2,3729,2.2452528551553326,2.2453278029828154,7.494782748285189e-05,3.338057328855587e-05
Llama-7B,Llama-7B,decoder,text,1.0,control,5,2,3751,2.2452528551553326,2.2452726157350784,1.976057974584222e-05,8.801048710602857e-06
Llama-7B,Llama-7B,decoder,text,1.0,candidate,,2,3968,2.2452528551553326,8.998851287304305,6.753598432148973,3.007945593585156
Mistral-7B,Mistral-7B,decoder,text,0.5,control,1,1,190,2.207224828193799,2.2072286073568983,3.7791630993488923e-06,1.7121785923554652e-06
Mistral-7B,Mistral-7B,decoder,text,0.5,control,2,1,305,2.207224828193799,2.207191704378669,-3.312381512987628e-05,-1.5006996435873698e-05
Mistral-7B,Mistral-7B,decoder,text,0.5,control,3,1,746,2.207224828193799,2.2073484034827544,0.00012357528895545755,5.598672476721859e-05
Mistral-7B,Mistral-7B,decoder,text,0.5,control,4,1,1912,2.207224828193799,2.207234617707314,9.789513514935066e-06,4.435213572215003e-06
Mistral-7B,Mistral-7B,decoder,text,0.5,control,5,1,2687,2.207224828193799,2.2072165723229573,-8.255870841633595e-06,-3.740385091803032e-06
Mistral-7B,Mistral-7B,decoder,text,0.5,candidate,,1,2070,2.207224828193799,8.859335746391878,6.652110918198079,3.013789457796915
Mistral-7B,Mistral-7B,decoder,text,1.0,control,1,1,190,2.207224828193799,2.207235912464836,1.1084271037020699e-05,5.021813317536439e-06
Mistral-7B,Mistral-7B,decoder,text,1.0,control,2,1,305,2.207224828193799,2.207160926415729,-6.390177806991915e-05,-2.8951186690941136e-05
Mistral-7B,Mistral-7B,decoder,text,1.0,control,3,1,746,2.207224828193799,2.2074806789689334,0.00025585077513445853,0.00011591514007380235
Mistral-7B,Mistral-7B,decoder,text,1.0,control,4,1,1912,2.207224828193799,2.2072464090784,2.1580884601135608e-05,9.777383946335692e-06
Mistral-7B,Mistral-7B,decoder,text,1.0,control,5,1,2687,2.207224828193799,2.2072115127354452,-1.331545835370207e-05,-6.0326697052417106e-06
Mistral-7B,Mistral-7B,decoder,text,1.0,candidate,,1,2070,2.207224828193799,8.545254097358121,6.3380292691643225,2.871492377308394
