model,architecture,domain,total_params,candidate_effect_eps0p5,candidate_ci_low_eps0p5,candidate_ci_high_eps0p5,median_control_effect_eps0p5,candidate_minus_control_eps0p5,candidate_effect_eps1p0,candidate_ci_low_eps1p0,candidate_ci_high_eps1p0,median_control_effect_eps1p0,candidate_minus_control_eps1p0
Llama-7B,decoder,text,6738417664,0.03855088724231734,0.0364189868726007,0.04092389919047479,2.853531508888723e-06,0.03854803371080845,3.007945593585156,2.9369114630775157,3.0840393943509667,8.801048710602857e-06,3.0079367925364453
Mistral-7B,decoder,text,7241732096,3.013789457796915,2.932549787641434,3.0959455951425787,1.7121785923554652e-06,3.013787745618323,2.871492377308394,2.798798262184707,2.9513578256428548,5.021813317536439e-06,2.871487355495076
OLMo-7B-0724-hf,decoder,text,6888095744,0.006288051768048048,0.005398174873445165,0.007198394986122934,-3.921241632109546e-06,0.006291973009680158,1.1177580569022323,1.06115035576345,1.1763996986833076,-7.3944507730981204e-06,1.1177654513530053
Qwen2.5-7B,decoder,text,7615616512,0.005999443397646881,0.0055606032246603215,0.00642426382397685,-2.9973117508913253e-06,0.006002440709397772,0.0073805601611145735,0.006781054632485803,0.007968708552834472,-4.6442721132295654e-07,0.007381024588325897
MosaicBERT,encoder,text,137400384,-0.0017349806458838244,-0.002241310395933119,-0.0012571431678653708,-2.449226962061112e-05,-0.0017104883762632133,0.003742157414503058,0.0028434660638321195,0.004636148279299672,-1.6049310355068717e-05,0.0037582067248581267
ModernBERT-base,encoder,text,149655232,0.10926316989708436,0.10111933395258395,0.11711730402113898,1.3859699371800636e-05,0.10924931019771256,3.570440314807799,3.4777132643830533,3.6702696047326904,6.485239069165062e-05,3.570375462417107
NTv3,encoder,genomic,651829819,-0.004981039705982557,-0.006946986320810988,-0.0028872463830030147,-8.554853339529772e-07,-0.004980184220648604,-0.007949366731059835,-0.011857754572508752,-0.004142335000732689,-1.703074537723427e-06,-0.007947663656522112
DNABERT-2,encoder,genomic,117074176,0.003106690560738079,0.0014604033589265127,0.005065319299870445,1.3518807631645606e-06,0.0031053386799749145,0.008295371435906092,0.00567776581894784,0.011484139295402299,1.0589183390887352e-05,0.008284782252515204
GENERator-EUK-3B,decoder,genomic,2998262784,0.04290482058827287,0.033733681417347845,0.05404664984043458,7.2105654050200855e-06,0.04289761002286785,0.3709941910582313,0.33584090104894765,0.4125371824476298,1.9056854331654044e-05,0.3709751342038996
GenomeOcean-4B,decoder,genomic,4253174784,0.0042586670025043395,0.00312960827816901,0.005554653910832048,-6.627140365994572e-06,0.004265294142870334,0.007641126234624247,0.005742304574306677,0.009938488573542193,-1.30559581011994e-05,0.0076541821927254465
