cohort	n	predictor	endpoint	spearman_rho	p_value	ci95_lo	ci95_hi
all	22	activation_ratio	R_cand_eps0.5	0.665725578769057	0.0007204130109213571	0.3073829710696712	0.8816180750749643
all	22	activation_ratio	R_cand_eps1.0	0.7662337662337665	3.213226251313809e-05	0.5315355289501653	0.8836944127708097
all	22	activation_ratio	G_eps0.5	0.665725578769057	0.0007204130109213571	0.3073829710696712	0.8816180750749643
all	22	activation_ratio	G_eps1.0	0.7662337662337665	3.213226251313809e-05	0.5315355289501653	0.8836944127708097
all	22	activation_max	R_cand_eps0.5	0.4963297571993225	0.018799296027891214	0.060413288629920625	0.8214208702197896
all	22	activation_max	R_cand_eps1.0	0.3754940711462451	0.08505436731083486	-0.06272355301907181	0.7126546594876119
all	22	activation_max	G_eps0.5	0.4963297571993225	0.018799296027891214	0.060413288629920625	0.8214208702197896
all	22	activation_max	G_eps1.0	0.3754940711462451	0.08505436731083486	-0.06272355301907181	0.7126546594876119
all	22	ratio_median_24	R_cand_eps0.5	0.6691134952004518	0.0006611865482963788	0.30908108946198776	0.8888252311522914
all	22	ratio_median_24	R_cand_eps1.0	0.7684923771880295	2.945926531923321e-05	0.5335475833223197	0.8893972426070487
all	22	ratio_median_24	G_eps0.5	0.6691134952004518	0.0006611865482963788	0.30908108946198776	0.8888252311522914
all	22	ratio_median_24	G_eps1.0	0.7684923771880295	2.945926531923321e-05	0.5335475833223197	0.8893972426070487
all	22	ratio_cv_24	R_cand_eps0.5	0.24858536779514803	0.26462211636817873	-0.23996036838507273	0.6858293844341699
all	22	ratio_cv_24	R_cand_eps1.0	0.12967209390680842	0.5651894979404768	-0.3718023643108715	0.585271151938323
all	22	ratio_cv_24	G_eps0.5	0.24858536779514803	0.26462211636817873	-0.23996036838507273	0.6858293844341699
all	22	ratio_cv_24	G_eps1.0	0.12967209390680842	0.5651894979404768	-0.3718023643108715	0.585271151938323
all	22	rank_median_24	R_cand_eps0.5	nan	nan		
all	22	rank_median_24	R_cand_eps1.0	nan	nan		
all	22	rank_median_24	G_eps0.5	nan	nan		
all	22	rank_median_24	G_eps1.0	nan	nan		
all	22	q1	R_cand_eps0.5	0.11462450592885377	0.6115002138101081	-0.38680960977480605	0.6260842582984016
all	22	q1	R_cand_eps1.0	0.07396950875211745	0.7435587990333694	-0.3934265955104358	0.5237075389405661
all	22	q1	G_eps0.5	0.11462450592885377	0.6115002138101081	-0.38680960977480605	0.6260842582984016
