direction	best_scale	nll	delta_nll	rel_damage_gap	damage_matched	gc	delta_gc_vs_intact
0	0.250000	8.511262	2.282290	0.004120	True	0.347801	-0.111400
1	0.250000	8.494262	2.265291	0.011538	True	0.342014	-0.117188
2	1.500000	8.511118	2.282146	0.004183	True	0.346065	-0.113137
3	0.250000	8.490272	2.261300	0.013279	True	0.353009	-0.106192
4	0.250000	8.470879	2.241907	0.021741	True	0.357060	-0.102141
5	0.250000	8.460296	2.231325	0.026359	True	0.370081	-0.089120
6	0.250000	8.504583	2.275611	0.007034	True	0.345197	-0.114005
7	0.250000	8.548941	2.319969	0.012321	True	0.353009	-0.106192
8	0.500000	8.520485	2.291513	0.000095	True	0.352141	-0.107060
9	0.250000	8.543017	2.314046	0.009737	True	0.355613	-0.103588
10	0.250000	8.478332	2.249360	0.018489	True	0.357639	-0.101562
11	0.250000	8.515985	2.287014	0.002059	True	0.350116	-0.109086
12	0.250000	8.526104	2.297132	0.002356	True	0.349826	-0.109375
13	0.250000	8.546942	2.317970	0.011449	True	0.349248	-0.109954
14	0.250000	8.535313	2.306341	0.006375	True	0.344329	-0.114873
15	0.250000	8.542661	2.313689	0.009581	True	0.346644	-0.112558
16	3.000000	8.513325	2.284353	0.003220	True	0.356481	-0.102720
17	0.250000	8.501309	2.272337	0.008463	True	0.350694	-0.108507
18	0.250000	8.526482	2.297510	0.002521	True	0.335359	-0.123843
19	1.000000	8.576185	2.347213	0.024209	True	0.347801	-0.111400
