row	rank	activation_ratio	nll	delta_nll	rel_delta	is_frozen_candidate
227	1	3181.696777	20.886826	18.272292	6.988737	True
749	2	358.560516	2.672249	0.057715	0.022075	False
423	3	69.953270	2.695204	0.080670	0.030854	False
161	4	63.543766	10.122982	7.508448	2.871811	False
1195	5	60.266853	2.644695	0.030161	0.011536	False
318	6	55.386581	2.633477	0.018943	0.007245	False
1122	7	52.315228	2.624627	0.010093	0.003860	False
618	9	33.341003	2.617766	0.003232	0.001236	False
338	10	32.855923	2.621890	0.007356	0.002814	False
843	13	23.703405	2.620778	0.006244	0.002388	False
941	15	16.553324	2.616309	0.001774	0.000679	False
951	19	11.520412	2.615606	0.001071	0.000410	False
209	23	10.306180	2.615598	0.001064	0.000407	False
1708	28	5.909970	2.614748	0.000214	0.000082	False
1773	34	5.037230	2.614285	-0.000249	-0.000095	False
455	41	4.237246	2.614493	-0.000041	-0.000016	False
809	50	3.829181	2.614065	-0.000469	-0.000179	False
1939	61	3.586867	2.614401	-0.000133	-0.000051	False
307	74	3.137501	2.614313	-0.000221	-0.000084	False
1624	90	2.935620	2.614569	0.000034	0.000013	False
852	109	2.781382	2.614534	0.000000	0.000000	False
417	133	2.522938	2.614360	-0.000174	-0.000067	False
702	161	2.304405	2.614425	-0.000110	-0.000042	False
380	196	2.158885	2.614639	0.000104	0.000040	False
1442	238	2.051404	2.614505	-0.000029	-0.000011	False
1325	290	1.927733	2.614595	0.000061	0.000023	False
1979	353	1.749191	2.614471	-0.000063	-0.000024	False
1090	429	1.627405	2.614574	0.000040	0.000015	False
1575	521	1.465333	2.614578	0.000044	0.000017	False
1303	634	1.349007	2.614568	0.000034	0.000013	False
444	771	1.214176	2.614307	-0.000227	-0.000087	False
144	937	1.057742	2.614618	0.000083	0.000032	False
1305	1139	0.912800	2.614585	0.000051	0.000020	False
1558	1385	0.771131	2.614630	0.000096	0.000037	False
1900	1684	0.650215	2.614573	0.000039	0.000015	False
1831	2048	0.487994	2.614587	0.000053	0.000020	False
