perturbation_type	condition_label	condition_class	x_value_type	x_value	nll	gc_fraction	gc_ci_low	gc_ci_high	n_prompts	n_seeds	fraction_of_ablation_damage	source_row_id	source_file
alpha_sweep	control_row_102	inert_control_row	alpha	0.0	6.3853948909044265	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	6.064783888e-06	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	0.1	6.385393040776253	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	5.283789481e-06	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	0.25	6.3853900015354155	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	4.000835073e-06	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	0.5	6.385386076569557	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	2.343989657e-06	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	0.75	6.385382533073425	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	8.481740161e-07	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	1.0	6.38538052380085	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	1.5	6.385398891568184	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	7.75358365e-06	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	2.0	6.385493195652962	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	4.756215682e-05	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	3.0	6.385520263910293	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	5.898847738e-05	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_102	inert_control_row	alpha	5.0	6.385592561364174	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	8.950739381e-05	102	audit/generator_alpha_sweeps.csv
