# A — Observer families, held-out performance
epsilon	observer_family	held_out_r2	held_out_mae	rmse	normalized_mae	resplit_median_r2	resplit_p2.5	resplit_p97.5	n_resplits
0.5	F0	-0.022545	0.030348	0.052585	0.160437	-0.2141	-0.449986	0.057087	100
0.5	F1	0.324432	0.033363	0.042742	0.176373	0.299609	-0.345939	0.566921	100
0.5	F2	0.516727	0.027657	0.036151	0.146211	0.549752	0.261286	0.704396	100
0.5	F3	0.887524	0.012515	0.01744	0.066164	0.917147	0.793216	0.956181	100
1.0	F0	-0.040464	0.490676	0.676607	0.228114	-0.453683	-1.13941	-0.053449	100
1.0	F1	0.65924	0.307246	0.38721	0.142838	0.306462	-0.327928	0.690366	100
1.0	F2	0.581086	0.353941	0.429324	0.164547	0.559596	0.329547	0.701758	100
1.0	F3	0.789761	0.26766	0.304144	0.124435	0.761334	0.492116	0.884137	100
# B — Pairwise interaction coefficients (45 pairs x 2 strengths)
epsilon	rank_by_abs_gamma	pair	gamma	abs_gamma
0.5	1	(9, 264)x(9, 294)	0.077152	0.077152
0.5	2	(3, 603)x(3, 641)	0.05442	0.05442
0.5	3	(3, 86)x(3, 399)	0.052352	0.052352
0.5	4	(3, 399)x(3, 603)	0.030111	0.030111
0.5	5	(3, 86)x(3, 603)	0.029418	0.029418
0.5	6	(3, 86)x(3, 641)	0.022553	0.022553
0.5	7	(5, 603)x(5, 86)	-0.019566	0.019566
0.5	8	(3, 86)x(9, 294)	0.015165	0.015165
0.5	9	(5, 603)x(9, 294)	0.015158	0.015158
0.5	10	(3, 641)x(6, 603)	-0.012538	0.012538
0.5	11	(9, 264)x(7, 603)	-0.012002	0.012002
0.5	12	(5, 603)x(3, 603)	0.011697	0.011697
0.5	13	(3, 399)x(3, 641)	0.011514	0.011514
0.5	14	(5, 603)x(3, 399)	-0.011322	0.011322
0.5	15	(3, 399)x(7, 603)	0.009412	0.009412
0.5	16	(9, 264)x(3, 641)	0.008004	0.008004
0.5	17	(9, 294)x(7, 603)	-0.007689	0.007689
0.5	18	(9, 294)x(3, 641)	0.007316	0.007316
0.5	19	(3, 603)x(5, 86)	0.007064	0.007064
0.5	20	(9, 264)x(6, 603)	0.006256	0.006256
0.5	21	(7, 603)x(5, 86)	-0.006255	0.006255
0.5	22	(3, 86)x(9, 264)	0.006222	0.006222
0.5	23	(5, 603)x(3, 86)	-0.005872	0.005872
0.5	24	(3, 399)x(9, 294)	0.005338	0.005338
0.5	25	(3, 399)x(6, 603)	-0.005326	0.005326
0.5	26	(3, 641)x(5, 86)	-0.005289	0.005289
0.5	27	(3, 603)x(7, 603)	-0.005222	0.005222
0.5	28	(5, 603)x(9, 264)	0.004843	0.004843
0.5	29	(3, 86)x(5, 86)	-0.004497	0.004497
0.5	30	(5, 603)x(7, 603)	-0.003724	0.003724
0.5	31	(3, 86)x(7, 603)	-0.00314	0.00314
0.5	32	(3, 399)x(5, 86)	-0.003088	0.003088
