model	layer	row	ratio_rank	activation_ratio	nll	delta_nll	rel_delta	above_detector_threshold	is_frozen_candidate
GENERator-EUK-3B	4	2371	1	7124.0898	8.52070396	2.2917321	0.36791499	1	1
GENERator-EUK-3B	4	1522	2	2730.7437	6.89547721	0.66650535	0.10700086	1	0
GENERator-EUK-3B	4	101	3	531.2781	6.22832679	-0.00064507	-0.00010356	1	0
GENERator-EUK-3B	4	1932	4	498.3457	6.2443792	0.01540734	0.0024735	1	0
GENERator-EUK-3B	4	166	5	377.6515	6.23652645	0.00755459	0.00121281	1	0
GENERator-EUK-3B	4	2105	6	191.1865	6.22983889	0.00086703	0.00013919	1	0
GENERator-EUK-3B	4	410	8	180.3933	6.23241593	0.00344407	0.00055291	1	0
GENERator-EUK-3B	4	457	10	119.6343	6.23042813	0.00145627	0.00023379	1	0
GENERator-EUK-3B	4	2736	12	37.1716	6.22944005	0.00046818	7.516e-05	1	0
GENERator-EUK-3B	4	2599	15	28.8672	6.22989906	0.00092719	0.00014885	1	0
GENERator-EUK-3B	4	2453	18	19.8563	6.22867512	-0.00029674	-4.764e-05	1	0
GENERator-EUK-3B	4	1496	22	14.3602	6.22908122	0.00010935	1.756e-05	1	0
GENERator-EUK-3B	4	2111	27	9.794	6.22894046	-3.141e-05	-5.04e-06	1	0
GENERator-EUK-3B	4	6	33	7.3633	6.22914408	0.00017221	2.765e-05	1	0
GENERator-EUK-3B	4	1123	41	5.8574	6.22899183	1.996e-05	3.21e-06	1	0
GENERator-EUK-3B	4	1582	50	4.9564	6.22968995	0.00071809	0.00011528	0	0
GENERator-EUK-3B	4	2343	61	4.4745	6.22894561	-2.625e-05	-4.21e-06	0	0
GENERator-EUK-3B	4	2090	75	4.0293	6.22911628	0.00014442	2.319e-05	0	0
GENERator-EUK-3B	4	2951	93	3.661	6.22875007	-0.0002218	-3.561e-05	0	0
GENERator-EUK-3B	4	3023	114	3.5002	6.22903434	6.248e-05	1.003e-05	0	0
GENERator-EUK-3B	4	1937	140	3.3293	6.22904248	7.062e-05	1.134e-05	0	0
GENERator-EUK-3B	4	284	172	3.0966	6.22896431	-7.55e-06	-1.21e-06	0	0
GENERator-EUK-3B	4	2592	211	2.9237	6.22933968	0.00036782	5.905e-05	0	0
GENERator-EUK-3B	4	2166	260	2.7127	6.22891471	-5.715e-05	-9.17e-06	0	0
GENERator-EUK-3B	4	544	319	2.5605	6.22905827	8.641e-05	1.387e-05	0	0
GENERator-EUK-3B	4	2878	392	2.3831	6.22900558	3.372e-05	5.41e-06	0	0
GENERator-EUK-3B	4	916	482	2.195	6.22893413	-3.773e-05	-6.06e-06	0	0
GENERator-EUK-3B	4	1478	592	2.0001	6.22900129	2.943e-05	4.72e-06	0	0
GENERator-EUK-3B	4	2689	727	1.8028	6.22866377	-0.00030809	-4.946e-05	0	0
GENERator-EUK-3B	4	338	893	1.5871	6.2293509	0.00037904	6.085e-05	0	0
GENERator-EUK-3B	4	383	1097	1.3865	6.22921539	0.00024352	3.91e-05	0	0
GENERator-EUK-3B	4	3014	1348	1.1484	6.22878081	-0.00019106	-3.067e-05	0	0
GENERator-EUK-3B	4	1168	1656	0.9132	6.22921599	0.00024412	3.919e-05	0	0
GENERator-EUK-3B	4	2883	2035	0.6368	6.22900939	3.753e-05	6.02e-06	0	0
GENERator-EUK-3B	4	2123	2500	0.3633	6.2289782	6.34e-06	1.02e-06	0	0
GENERator-EUK-3B	4	1643	3072	0.0251	6.22904087	6.901e-05	1.108e-05	0	0
SmolLM2-1.7B	7	227	1	3181.6968	20.88682623	18.27229213	6.98873736	1	1
SmolLM2-1.7B	7	749	2	358.5605	2.67224864	0.05771454	0.0220745	1	0
SmolLM2-1.7B	7	423	3	69.9533	2.69520399	0.08066989	0.0308544	1	0
SmolLM2-1.7B	7	161	4	63.5438	10.12298247	7.50844837	2.87181123	1	0
SmolLM2-1.7B	7	1195	5	60.2669	2.64469506	0.03016096	0.01153588	1	0
SmolLM2-1.7B	7	318	6	55.3866	2.63347745	0.01894335	0.0072454	1	0
SmolLM2-1.7B	7	1122	7	52.3152	2.62462735	0.01009325	0.00386044	1	0
SmolLM2-1.7B	7	618	9	33.341	2.61776583	0.00323173	0.00123606	1	0
SmolLM2-1.7B	7	338	10	32.8559	2.62189046	0.00735636	0.00281364	1	0
SmolLM2-1.7B	7	843	13	23.7034	2.620778	0.0062439	0.00238815	1	0
SmolLM2-1.7B	7	941	15	16.5533	2.61630857	0.00177447	0.00067869	1	0
SmolLM2-1.7B	7	951	19	11.5204	2.61560555	0.00107145	0.0004098	1	0
